School_ID,NDVI_median,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,Land_Surface_Temp,Year_built,Median_income_BG,Percent_FRPM,Staff,Students_with_Disabilities,Asthma_Rates,COVID_infections,Pollution_Burden,Chronic_Absenteeism,retrofit,ndvi_median_binary,retrofit_and_ndvi,EEM,EE_Retrofit_Type
10600000000000_39,0.17,0,100,0,0,29.52,1957,117370,88,13.39,15,71.87,29.25,56.21,17.1,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives",Pumps_Motors_Drives
43700000000000_40,0.13,0,100,0,0,29.08,1963,176750,6.5,15.42,142.5,9.84,52.82,41.31,2.15,0,0,0,HVAC- VAV System,HVAC
27800000000000_41,0.12,0,100,0,0,25.68,2019,54607,80,2,1523.5,49.82,39.52,45.09,30.9,0,0,0,Lighting- Interior Fixture Retrofit,Lighting
40800000000000_45,0.13,0,95.7,1.51,2.79,31.36,2003,87344,59,14.63,205,46.01,50.32,41.76,26.05,1,0,0,Lighting - Interior Linear Fluorescent  Relamping,Lighting
40800000000000_46,0.13,0.08,96.11,0,3.19,31.36,2003,87344,59,14.63,205,46.01,50.32,41.76,26.05,1,0,0,Lighting - Interior Linear Fluorescent  Relamping,Lighting
40800000000000_47,0.13,0,100,0,0,31.54,2003,87344,59,14.63,13,46.01,50.32,41.76,26.05,1,0,0,Lighting - Interior Linear Fluorescent  Relamping,Lighting
40800000000000_48,0.15,9.38,60.58,1.74,28.3,31.03,1948,87344,54.5,18.63,15,46.01,50.32,41.76,37.65,0,0,0,Lighting - Interior Linear Fluorescent  Relamping,Lighting
40700000000000_50,0.19,0,78.35,1.63,20.02,26.24,1993,92500,69,13.73,1894.5,44.99,50.32,34.66,18.7,0,0,0,,
15600000000000_51,0.13,0,100,0,0,31.36,1999,36250,83.5,19.79,161,45.4,27.08,54.21,39.35,0,0,0,Building Envelope- Windows/Skylights,Building_Envelope
10600000000000_53,0.14,0,100,0,0,29.83,1996,91695,40,12.81,241,37.05,29.25,35.98,18.8,0,0,0,,
10600000000000_55,0.15,0.15,48.18,0,51.67,29.89,1949,131042,81.5,15.33,267,56.04,29.25,59.95,26.1,1,0,0,,
10600000000000_56,0.12,0,100,0,0,29.91,1953,45774,83.5,15.63,13,50.56,29.25,50.33,34.4,1,0,0,,
10600000000000_57,0.14,2.23,97.69,0,0.08,29.39,1969,111719,55.5,47.09,13,43.29,29.25,36.63,22.45,1,0,0,,
10600000000000_58,0.12,0,100,0,0,29.9,1969,50438,63.5,21.83,464,103.13,29.25,49.65,19.5,1,0,0,,
10600000000000_59,0.13,0,100,0,0,30.26,1969,50438,63.5,21.83,1523.5,50.56,29.25,50.33,19.5,1,0,0,,
10600000000000_60,0.15,2.66,96.71,0,0.62,29.8,1958,74545,68.5,16.45,241,103.13,29.25,47.83,24.65,0,0,0,,
10600000000000_61,0.16,0,100,0,0,28.15,1991,151250,41,45.46,267,25.47,29.25,37.15,12.1,1,0,0,,
10600000000000_62,0.16,0,100,0,0,28.52,1994,151250,34,27.46,1894.5,25.47,29.25,37.15,11.6,0,0,0,,
10600000000000_63,0.14,0,94.9,0,5.1,27.64,2000,123393,58.5,57.03,241,24.94,29.25,40.27,13.45,1,0,0,,
10600000000000_64,0.16,0,99.92,0,0.08,29.8,1976,132788,50.5,35.08,13,46.67,29.25,33.98,16.95,1,0,0,,
10600000000000_65,0.15,0,98.64,0,1.36,29.43,1979,39777,82.5,14.61,27.5,55.96,29.25,55.12,27.7,0,0,0,,
10600000000000_66,0.16,2.33,95.63,0,0.16,28.15,1991,151250,41,45.46,267,25.47,29.25,37.15,12.1,1,0,0,,
43700000000000_67,0.13,0,100,0,0,27.96,1966,167269,34.5,7.7,55,35.25,52.82,27.26,4.05,0,0,0,HVAC- VAV System,HVAC
43700000000000_68,0.18,0,84.72,1.13,14.15,26.61,1994,250000,6.5,8.28,20747,22,52.82,30.02,3.3,0,0,0,HVAC- VAV System,HVAC
43700000000000_69,0.09,0,100,0,0,29.67,1962,70966,61,12.83,1894.5,57.49,52.82,27.2,13.85,0,0,0,HVAC- VAV System,HVAC
43700000000000_70,0.1,0,100,0,0,29.42,1965,59635,53,6.69,23,35.96,52.82,39.73,6.05,0,0,0,HVAC- VAV System,HVAC
43700000000000_72,0.14,0,92.93,0,7.07,27.02,1998,250000,9.5,13.96,645,22.02,52.82,21.72,1.55,0,0,0,HVAC- VAV System,HVAC
43700000000000_73,0.11,0,100,0,0,28.55,1985,179583,28,12.63,36,33.52,52.82,23.13,6.45,0,0,0,HVAC- VAV System,HVAC
43700000000000_74,0.11,0,99.49,0,0.51,28.82,1967,112014,41,9.13,278.5,32.48,52.82,31.89,8.1,0,0,0,HVAC- VAV System,HVAC
43700000000000_75,0.1,0,99.17,0,0.83,28.58,1988,138864,65,9.21,23,46.54,52.82,35.93,5.1,0,0,0,HVAC- VAV System,HVAC
43700000000000_76,0.11,0,100,0,0,28.84,1969,142957,38.5,9.21,241,41.77,52.82,17.26,8.4,0,0,0,HVAC- VAV System,HVAC
29700000000000_77,0.28,0.48,16.92,77.2,5.4,23.76,1985,92413,28,9.01,14.5,25.99,18.13,28.75,19.85,1,1,1,Lighting- Interior Fixture Retrofit,Lighting
54700000000000_78,0.18,0,89.31,0,10.69,29.26,1966,46111,97,7.33,13,35.41,19.56,49.87,26.6,1,0,0,Lighting Controls,Lighting
1610000000000_79,0.1,0,100,0,0,28.24,2005,76639,100,3,98.5,95.62,19.56,37.23,55.45,0,0,0,,
4610000000000_80,0.22,0,100,0,0,26.2,1953,86798,59,22.56,142.5,46.31,19.73,49.15,27,0,0,0,,
4610000000000_81,0.17,0,100,0,0,28.08,2005,51714,98,12.05,336,99.47,29.25,22.65,96.05,0,0,0,,
4610000000000_82,0.16,0.57,96.39,0,3.04,29.17,1963,45278,24,20.85,112.5,51.79,64.45,54.45,14.45,0,0,0,,
4610000000000_83,0.21,0,100,0,0,26.36,1936,43304,55,18.6,161,42.25,19.73,39.52,43.1,0,0,0,,
4610000000000_84,0.19,0,100,0,0,27.92,1973,67148,82,16.02,645,56.56,19.73,45.84,21.55,0,0,0,,
4610000000000_85,0.17,0,100,0,0,28.58,2019,39667,90,31.91,336,46.01,42.51,37.56,35.7,0,0,0,,
4610000000000_86,0.17,0,100,0,0,28.86,1965,39667,71,46.62,336,56.11,52.82,42.86,20.4,0,0,0,,
4610000000000_88,0.24,11.88,88.12,0,0,25.67,1953,97697,40,20.15,13,56.56,19.73,33.87,18,0,1,0,,
4610000000000_89,0.18,0,100,0,0,28.82,1970,84485,100,23.89,1894.5,39.03,19.56,33.13,34,0,0,0,,
9620000000000_90,0.22,0.32,16.96,13,69.73,27.79,1956,160438,10,18.09,205,29.48,18.13,24.19,18.95,1,0,0,,
9620000000000_91,0.19,0,91.51,4.12,4.36,26.48,1981,115075,89,14.07,13,19.68,18.13,17.09,13.25,1,0,0,,
9620000000000_92,0.19,0.32,81.36,3.24,15.07,27.79,1978,184936,49,21.13,278.5,34.49,18.13,20.54,15.05,0,0,0,Lighting- Interior Fixture Retrofit,Lighting
9620000000000_93,0.19,0,92.46,0.08,5.78,26.48,1981,115075,58,14.07,14.5,19.68,18.13,17.09,13.25,1,0,0,,
10600000000000_94,0.13,0,100,0,0,31.64,2012,45347,95,17.43,164,99.91,29.25,54.37,33.65,0,0,0,,
17600000000000_95,0.17,0,81.88,0.32,17.81,29.22,1921,50958,64.5,13.19,278.5,69.99,20.46,35.75,27.85,0,0,0,Lighting- Interior Fixture Retrofit,Lighting
17600000000000_96,0.18,0,40.06,7.29,52.64,28.72,1979,52250,79.5,19.99,241,69.99,20.46,35.75,30.2,0,0,0,Lighting- Interior Fixture Retrofit,Lighting
