"","Order","UID","School_ID","CDS_Code","char_prem_id","NDVI_median","Percent_Water","Percent_Developed","Percent_Forest","Percent_Pasture","Percent_LandCoverTotal","Land_Surface_Temp","Year_built","Median_income_BG","Percent_FRPM","StudentEnrollment_mean","Staff","Student_Staff_Ratio","Diversity_Index","Students_with_Disabilities","Asthma_Rates","COVID_infections","Pollution_Burden","Chronic_Absenteeism","EEM","EE_Retrofit_Type","retrofit","ndvi_median_binary","retrofit_and_ndvi","Average_NDVI_median"
"21",423,"10600000000000_451","10600000000000_451",1.06217e+13,9772727992,0.15,"0.72","99.28","0","0","100",30.7,"1970",92056,70,NA,18.12,NA,NA,NA,86.38,29.25,49.24,28.85,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"22",424,"10600000000000_452","10600000000000_452",1.06217e+13,9772730078,0.16,"0","100","0","0","100",30.45,"1952",40547,91.5,NA,18.35,NA,NA,NA,115.2,29.25,40.93,45,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"23",426,"10600000000000_454","10600000000000_454",1.06217e+13,9772736336,0.13,"0","100","0","0","100",31.45,"1954",59097,93.5,NA,16.79,NA,NA,NA,117.63,29.25,48.14,39.3,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"24",427,"10600000000000_455","10600000000000_455",1.06217e+13,9772737379,0.15,"0","100","0","0","100",30.02,"1965",53553,96,NA,19.11,NA,NA,NA,79.02,29.25,43.36,50.7,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"25",428,"10600000000000_456","10600000000000_456",1.06217e+13,9772740508,0.17,"0","100","0","0","100",28.39,"1958",82961,81.5,NA,20.58,NA,NA,NA,71.79,29.25,40.24,30.05,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"26",429,"10600000000000_457","10600000000000_457",1.06217e+13,9772741551,0.18,"0","100","0","0","100",28.23,"1958",82961,81.5,NA,20.58,NA,NA,NA,71.79,29.25,40.24,30.05,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"27",431,"10600000000000_459","10600000000000_459",1.06217e+13,9772744680,0.14,"0.56","99.44","0","0","100",30.49,"1959",47321,87,NA,13.58,NA,NA,NA,125.69,29.25,41.91,19.75,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"28",432,"10600000000000_460","10600000000000_460",1.06217e+13,9772745723,0.13,"0","100","0","0","100",31.21,"1952",NA,94.5,NA,14.32,NA,NA,NA,141.83,29.25,51.06,51.45,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"29",433,"10600000000000_461","10600000000000_461",1.06217e+13,9772746766,0.14,"0","99.57","0","0.43","100",30.61,"1955",79886,93.5,NA,22.27,NA,NA,NA,132.71,29.25,52.8,50.2,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"30",434,"10600000000000_462","10600000000000_462",1.06217e+13,9772750938,0.13,"0","100","0","0","100",30.86,"1952",54621,86,NA,25.09,NA,NA,NA,73.02,29.25,42.03,33.6,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"31",435,"10600000000000_463","10600000000000_463",1.06217e+13,9772751981,0.11,"0","100","0","0","100",31.55,"1950",32738,97,NA,20.83,NA,NA,NA,100.89,29.25,48.92,37.6,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"32",436,"10600000000000_464","10600000000000_464",1.06217e+13,9772753024,0.13,"0","100","0","0","100",31.14,"1960",42361,96.5,NA,19.46,NA,NA,NA,107.23,29.25,47.72,40.85,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"33",437,"10600000000000_465","10600000000000_465",1.06217e+13,9772754067,0.13,"0","100","0","0","100",30.67,"1962",63616,91,NA,17.53,NA,NA,NA,80.43,29.25,50.13,35.8,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"34",439,"10600000000000_467","10600000000000_467",1.06217e+13,9772757196,0.12,"16.28","83.72","0","0","100",30.86,"1960",65450,90.5,NA,13.51,NA,NA,NA,131.86,29.25,54.69,37.65,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"35",440,"10600000000000_468","10600000000000_468",1.06217e+13,9772758239,0.15,"1.7","97.01","0","1.29","100",29.39,"1963",74219,76.5,NA,27.55,NA,NA,NA,63.8,29.25,39.64,38.65,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"36",441,"10600000000000_469","10600000000000_469",1.06217e+13,9772760325,0.14,"0.81","98.21","0","0.98","100",31.14,"1972",82292,82,NA,15.95,NA,NA,NA,86.38,29.25,49.24,30.3,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"37",442,"10600000000000_470","10600000000000_470",1.06217e+13,9772761368,0.14,"0","99.87","0","0.13","100",31.17,"1968",76204,87,NA,20.19,NA,NA,NA,86.38,29.25,49.24,30.9,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"38",443,"10600000000000_471","10600000000000_471",1.06217e+13,9772763454,0.14,"0","100","0","0","100",30.24,NA,54542,92.5,NA,15.6,NA,NA,NA,127.72,29.25,44.43,49,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"39",444,"10600000000000_472","10600000000000_472",1.06217e+13,9772764497,0.12,"0","100","0","0","100",31.08,"1960",NA,94.5,NA,21.21,NA,NA,NA,107.23,29.25,47.72,42.15,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"40",446,"10600000000000_474","10600000000000_474",1.06217e+13,9772766583,0.18,"0","100","0","0","100",28.42,"1958",82961,NA,NA,NA,NA,NA,NA,81.36,29.25,42.66,NA,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"41",447,"10600000000000_475","10600000000000_475",1.06217e+13,9772767626,0.15,"0","100","0","0","100",30.39,NA,47321,95,NA,21.26,NA,NA,NA,125.69,29.25,41.91,51.3,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"42",448,"10600000000000_476","10600000000000_476",1.06217e+13,9772768669,0.14,NA,NA,NA,NA,NA,30.49,"1959",47321,87,NA,13.58,NA,NA,NA,125.69,29.25,41.91,19.75,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"43",449,"10600000000000_480","10600000000000_480",1.06217e+13,9772796830,0.1,"0","100","0","0","100",31.67,"1953",34904,95.5,NA,20.76,NA,NA,NA,136.39,29.25,54.62,42.25,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"44",451,"10600000000000_482","10600000000000_482",1.06217e+13,9782987165,0.13,"0","100","0","0","100",31.35,NA,31250,97.5,NA,13.26,NA,NA,NA,100.89,29.25,48.92,44.25,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"45",452,"10600000000000_483","10600000000000_483",1.06217e+13,9782998638,0.11,"0","99.87","0","0.13","100",31.64,NA,43571,98,NA,15.51,NA,NA,NA,NA,NA,NA,36.65,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
