UID,School_ID,NDVI_median,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,Percent_LandCoverTotal,Land_Surface_Temp,Year_built,Median_income_BG,Percent_FRPM,Student_Staff_Ratio,Diversity_Index,Students_Disabilities,Asthma_Rates,COVID_infections,Pollution_Burden,Chronic_Absenteeism,retrofit,ndvi_median_binary,retrofit_and_ndvi,Average_NDVI_median,StudentEnrollment_mean,Staff
10600000000000_500,10600000000000_500,0.14,0,100,0,0,100,30.62,1916,58185,93.5,NA,NA,NA,120.22,29.25,44.57,52.85,0,0,0,NA,NA,19.94
10600000000000_501,10600000000000_501,0.13,0,100,0,0,100,31.31,NA,35132,96.5,NA,NA,NA,99.91,29.25,54.37,43.05,0,0,0,NA,NA,16.35
10600000000000_502,10600000000000_502,0.14,0,76.1,0,23.9,100,31.11,1958,NA,70.5,NA,NA,NA,139.35,29.25,62.48,40.85,0,0,0,NA,NA,13.16
10600000000000_503,10600000000000_503,0.17,0,100,0,0,100,29.01,NA,79659,53.5,NA,NA,NA,81.36,29.25,42.66,14.9,0,0,0,NA,NA,14.86
39700000000000_504,39700000000000_504,0.13,0,100,0,0,100,29.2,2012,25685,61.5,68.64,NA,NA,NA,NA,NA,NA,0,0,0,NA,440,6.41
15600000000000_505,15600000000000_505,0.18,0,100,0,0,100,30.41,2005,72689,78.5,NA,NA,NA,45.4,27.08,54.21,43.05,0,0,0,NA,NA,30.44
39700000000000_506,39700000000000_506,0.24,0,100,0,0,100,27.46,NA,55833,65.5,NA,NA,NA,41.08,49.49,38.64,11.85,0,1,0,NA,NA,10.58
39700000000000_507,39700000000000_507,0.19,0,100,0,0,100,29.01,NA,120689,70,NA,NA,NA,36.55,49.49,66.82,18.2,0,0,0,NA,NA,8.29
39700000000000_508,39700000000000_508,0.25,0,100,0,0,100,26.96,NA,75750,54.5,NA,NA,NA,50.58,49.49,54.71,8.2,0,1,0,NA,NA,9.69
44700000000000_509,44700000000000_509,0.23,2.23,77.33,10.74,9.71,100,23.83,1993,93419,23.5,133.65,NA,NA,21.54,53.65,29.13,NA,0,0,0,NA,353.5,2.65
44700000000000_510,44700000000000_510,0.23,NA,NA,NA,NA,NA,23.83,2010,93419,NA,NA,NA,NA,21.54,53.65,29.13,NA,0,0,0,NA,NA,NA
39700000000000_511,39700000000000_511,0.14,0,100,0,0,100,30.36,NA,73953,41,NA,NA,271.5,38.23,49.49,57.4,5.75,0,0,0,NA,NA,17.13
39700000000000_512,39700000000000_512,0.26,0,100,0,0,100,25.48,NA,137969,28,NA,NA,271.5,38.23,49.49,57.4,9.15,0,1,0,NA,NA,15.02
50800000000000_513,50800000000000_513,0.15,6.27,93.33,0,0.4,100,30.97,1950,70268,49,45.76,NA,NA,NA,NA,NA,NA,0,0,0,NA,594,12.98
39700000000000_514,39700000000000_514,0.17,0,98.9,0,1.1,100,29.92,2010,98333,NA,NA,NA,NA,36.89,49.49,29.86,NA,0,0,0,NA,NA,NA
39700000000000_515,39700000000000_515,0.21,0,99.44,0,0.56,100,27.39,1965,NA,76.5,NA,NA,NA,40.7,49.49,46.78,29.65,0,0,0,NA,NA,16.04
39700000000000_516,39700000000000_516,0.24,0,99.41,0,0.59,100,26.61,1959,83932,80,NA,NA,NA,40.7,49.49,46.78,37.9,0,1,0,NA,NA,11.71
39700000000000_517,39700000000000_517,0.15,8.51,87.44,0,4.05,100,29.1,1934,120781,78,NA,NA,NA,36.88,49.49,34,26.2,0,0,0,NA,NA,10.11
39700000000000_518,39700000000000_518,0.2,0,100,0,0,100,29.07,1958,54351,75.5,NA,NA,NA,30.13,49.49,56,32.6,0,0,0,NA,NA,4.94
39700000000000_519,39700000000000_519,0.23,0,100,0,0,100,28.51,1946,46383,79.5,NA,NA,NA,46.19,49.49,50.23,28.8,0,0,0,NA,NA,11.27
39700000000000_520,39700000000000_520,0.14,0,100,0,0,100,29.33,1991,86489,NA,NA,NA,NA,81.55,49.49,35.9,NA,0,0,0,NA,NA,NA
39700000000000_521,39700000000000_521,0.14,0,100,0,0,100,29.58,1991,61797,62.5,NA,NA,NA,56.7,49.49,31.06,69.95,0,0,0,NA,NA,8.75
39700000000000_522,39700000000000_522,0.2,0,80.13,0,19.88,100,28.78,1949,74709,67.5,NA,NA,NA,41.9,49.49,40.13,25.2,0,0,0,NA,NA,9.6
39700000000000_523,39700000000000_523,0.16,0,100,0,0,100,28.98,1989,85789,80.5,NA,NA,NA,59.29,49.49,41.99,43,0,0,0,NA,NA,16.55
39700000000000_524,39700000000000_524,0.13,0,100,0,0,100,30.27,1985,54514,87.5,NA,NA,NA,69.78,49.49,36.71,35.85,0,0,0,NA,NA,13.36
19648100000000_3557,19648100000000_3557,0.06,0,100,0,0,100,42.78,NA,58893,68,NA,NA,NA,45.38,34.92,68.16,41.95,0,0,0,NA,NA,9.4
36675900000000_2121,36675900000000_2121,0.08,0,84.58,0,15.42,100,43.81,2009,NA,91,NA,NA,NA,84.73,34.44,34.8,NA,0,0,0,NA,NA,NA
14632700000000_2180,14632700000000_2180,0.08,0.56,47.17,0,52.27,100,47.55,1962,73259,5,NA,NA,NA,35.83,29.34,48.7,NA,0,0,0,NA,NA,NA
19642100000000_2266,19642100000000_2266,0.08,0,100,0,0,100,40.1,1991,63333,71,NA,NA,NA,54.67,34.92,64.7,88.9,0,0,0,NA,NA,2.38
36738600000000_2310,36738600000000_2310,0.08,0,42.34,0,57.66,100,43.49,2010,NA,73,NA,NA,NA,48.81,34.44,46.89,NA,0,0,0,NA,NA,NA
19648700000000_3700,19648700000000_3700,0.08,0,100,0,0,100,39.21,NA,41660,6,NA,NA,NA,52.77,34.92,68.53,30.75,0,0,0,NA,NA,10.83
19648700000000_3701,19648700000000_3701,0.08,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,39.21,NA,41660,6,NA,NA,NA,52.77,34.92,68.53,30.75,0,0,0,NA,NA,10.83
30666000000000_3735,30666000000000_3735,0.08,0,100,0,0,100,34.3,NA,57102,23,NA,NA,NA,44.15,22.48,56.95,27.95,0,0,0,NA,NA,23.42
36678800000000_608,36678800000000_608,0.09,0,87.58,0,12.42,100,40.35,NA,73175,88,NA,NA,NA,54.01,34.44,47.95,35.95,0,0,0,NA,NA,12.46
56724600000000_1301,56724600000000_1301,0.09,5.22,94.21,0,0.57,100,26.3,NA,NA,88,NA,NA,NA,41.57,26.69,46.95,15.2,0,0,0,NA,NA,7.42
30666500000000_1939,30666500000000_1939,0.09,0,100,0,0,100,41.15,2004,45875,40,NA,NA,NA,33.43,22.48,69.97,22.35,0,0,0,NA,NA,12.92
36678300000000_2010,36678300000000_2010,0.09,0,82.67,0,17.33,100,42.94,2018,33448,85,181.43,NA,NA,202.56,34.44,41.21,NA,0,0,0,NA,762,4.2
36676100000000_2018,36676100000000_2018,0.09,0,87.99,0,12.01,100,42.67,NA,59385,64,NA,NA,NA,202.56,34.44,49.06,52.4,0,0,0,NA,NA,11
36738600000000_2119,36738600000000_2119,0.09,0,69.25,0,30.75,100,43.39,2010,NA,73,NA,NA,NA,48.81,34.44,46.89,NA,0,0,0,NA,NA,NA
36678900000000_2131,36678900000000_2131,0.09,0,56.69,0,43.31,100,44.91,2005,NA,80,NA,NA,NA,47.22,34.44,42.47,NA,0,0,0,NA,NA,NA
14632700000000_2141,14632700000000_2141,0.09,7.17,22.55,0,70.28,100,42.78,1965,58000,5,NA,NA,NA,10.2,34.44,44.97,NA,0,0,0,NA,NA,NA
19642100000000_2156,19642100000000_2156,0.09,0,99.84,0,0.16,100,40.1,1991,63333,71,NA,NA,NA,38.96,34.92,57.22,88.9,0,0,0,NA,NA,2.38
19642100000000_2167,19642100000000_2167,0.09,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40.1,1991,63333,71,NA,NA,NA,38.96,34.92,57.22,88.9,0,0,0,NA,NA,2.38
19642100000000_2197,19642100000000_2197,0.09,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40.1,1991,63333,71,NA,NA,NA,38.96,34.92,57.22,88.9,0,0,0,NA,NA,2.38
19642100000000_2205,19642100000000_2205,0.09,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40.1,1991,63333,71,NA,NA,NA,38.96,34.92,57.22,88.9,0,0,0,NA,NA,2.38
19642100000000_2206,19642100000000_2206,0.09,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40.1,1991,63333,71,NA,NA,NA,38.96,34.92,57.22,88.9,0,0,0,NA,NA,2.38
19642100000000_2215,19642100000000_2215,0.09,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40.1,1991,63333,71,NA,NA,NA,38.96,34.92,57.22,88.9,0,0,0,NA,NA,2.38
19642100000000_2262,19642100000000_2262,0.09,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40.1,1991,63333,71,NA,NA,NA,38.96,34.92,57.22,88.9,0,0,0,NA,NA,2.38
19642100000000_2263,19642100000000_2263,0.09,0,100,0,0,100,40.1,1991,63333,71,NA,NA,NA,38.96,34.92,57.22,88.9,0,0,0,NA,NA,2.38
19642100000000_2264,19642100000000_2264,0.09,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40.1,1991,63333,71,NA,NA,NA,38.96,34.92,57.22,88.9,0,0,0,NA,NA,2.38
19642100000000_2265,19642100000000_2265,0.09,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40.1,1991,63333,71,NA,NA,NA,38.96,34.92,57.22,88.9,0,0,0,NA,NA,2.38
19642100000000_2267,19642100000000_2267,0.09,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40.1,1991,63333,71,NA,NA,NA,38.96,34.92,57.22,88.9,0,0,0,NA,NA,2.38
36678800000000_2687,36678800000000_2687,0.09,0,99.13,0,0.87,100,41.54,2009,66000,88,177.89,NA,NA,75.77,34.44,64.97,NA,0,0,0,NA,2382,13.39
36738900000000_3231,36738900000000_3231,0.09,0,76.48,0,23.52,100,42.16,NA,NA,82,NA,NA,NA,202.56,34.44,49.06,13.85,0,0,0,NA,NA,15.83
36679200000000_3712,36679200000000_3712,0.09,0,92.21,0,7.79,100,41.42,2007,NA,95,NA,NA,NA,70.58,34.44,38.81,15.8,0,0,0,NA,NA,17.59
36679200000000_3713,36679200000000_3713,0.09,0,100,0,0,100,41.77,2007,51094,95,NA,NA,NA,70.58,34.44,38.81,15.8,0,0,0,NA,NA,17.59
36679200000000_3714,36679200000000_3714,0.09,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,41.77,2007,51094,95,NA,NA,NA,70.58,34.44,38.81,15.8,0,0,0,NA,NA,17.59
36679200000000_3715,36679200000000_3715,0.09,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,41.42,2007,NA,95,NA,NA,NA,70.58,34.44,38.81,15.8,0,0,0,NA,NA,17.59
36676100000000_180,36676100000000_180,0.1,0,56.93,0,43.07,100,42.16,1915,NA,64,NA,NA,NA,202.56,34.44,41.21,41,0,0,0,NA,NA,6.75
36676100000000_182,36676100000000_182,0.1,0,93.37,0,6.63,100,42.03,NA,NA,64,NA,NA,NA,202.56,34.44,48.03,44,0,0,0,NA,NA,40.5
36676100000000_184,36676100000000_184,0.1,0,99.86,0,0.14,100,42.3,1964,24438,64,NA,NA,NA,202.56,34.44,31.43,48.2,0,0,0,NA,NA,26.25
36676100000000_185,36676100000000_185,0.1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,42.3,1964,24438,64,NA,NA,NA,202.56,34.44,31.43,48.2,0,0,0,NA,NA,26.25
36738900000000_324,36738900000000_324,0.1,0,47.94,0,52.06,100,43.23,1978,NA,82,NA,NA,NA,202.56,34.44,49.06,82.95,0,0,0,NA,NA,2.66
36738900000000_325,36738900000000_325,0.1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,43.23,1978,NA,82,NA,NA,NA,202.56,34.44,49.06,82.95,0,0,0,NA,NA,2.66
36738900000000_326,36738900000000_326,0.1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,43.23,1978,NA,82,NA,NA,NA,202.56,34.44,49.06,82.95,0,0,0,NA,NA,2.66
36676100000000_343,36676100000000_343,0.1,0,94.84,0,5.16,100,42.54,1954,NA,64,NA,NA,NA,202.56,34.44,48.03,49.85,0,0,0,NA,NA,13.5
36676100000000_344,36676100000000_344,0.1,0,95.03,0,4.97,100,42.66,1954,NA,64,NA,NA,NA,202.56,34.44,48.03,49.85,0,0,0,NA,NA,13.5
36676100000000_345,36676100000000_345,0.1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,42.66,1954,NA,64,NA,NA,NA,202.56,34.44,48.03,49.85,0,0,0,NA,NA,13.5
36676100000000_346,36676100000000_346,0.1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,42.54,1954,NA,64,NA,NA,NA,202.56,34.44,48.03,49.85,0,0,0,NA,NA,13.5
36676100000000_592,36676100000000_592,0.1,0,72.06,0,27.94,100,41.28,1965,68105,64,NA,NA,NA,202.56,34.44,31.43,66.2,0,0,0,NA,NA,17
36676100000000_593,36676100000000_593,0.1,0,16.17,0,83.83,100,41.72,1965,68105,64,NA,NA,NA,202.56,34.44,31.43,66.2,0,0,0,NA,NA,17
33671700000000_641,33671700000000_641,0.1,0,90.77,0,9.23,100,45.78,NA,44485,96,NA,NA,NA,71.47,31.72,20.02,37.55,0,0,0,NA,NA,22.18
36678800000000_1234,36678800000000_1234,0.1,0,99.28,0,0.72,100,40.28,2010,12969,88,26.91,NA,NA,92.63,34.44,56.7,NA,0,0,0,NA,410.5,15.26
36678800000000_1235,36678800000000_1235,0.1,0,100,0,0,100,40.28,2010,12969,88,26.91,NA,NA,92.63,34.44,56.7,NA,0,0,0,NA,410.5,15.26
36677100000000_1262,36677100000000_1262,0.1,0,99.28,0,0.72,100,39.08,1999,81719,82,NA,NA,NA,48.82,34.44,47.97,22,0,0,0,NA,NA,71.04
36677100000000_1263,36677100000000_1263,0.1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,39.08,1999,81719,82,NA,NA,NA,48.82,34.44,47.97,22,0,0,0,NA,NA,71.04
33670600000000_1445,33670600000000_1445,0.1,0,79.71,0,20.29,100,46.09,1996,84318,91,NA,NA,NA,24.75,31.72,29.8,24.7,0,0,0,NA,NA,16.75
36677800000000_2149,36677800000000_2149,0.1,0,91.89,0,8.11,100,41.06,2011,NA,84,NA,NA,NA,104.07,34.44,30.21,NA,0,0,0,NA,NA,NA
36738900000000_2223,36738900000000_2223,0.1,0,26.64,0,73.36,100,43.49,1993,NA,82,NA,NA,NA,202.56,34.44,49.06,NA,0,0,0,NA,NA,NA
36677800000000_2350,36677800000000_2350,0.1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,41.06,2011,NA,84,NA,NA,NA,104.07,34.44,30.21,NA,0,0,0,NA,NA,NA
36677800000000_2370,36677800000000_2370,0.1,0,78.57,0,21.43,100,41.06,2011,NA,84,NA,NA,NA,104.07,34.44,30.21,NA,0,0,0,NA,NA,NA
19648100000000_2436,19648100000000_2436,0.1,0,98.85,0,1.15,100,41.18,1996,54947,68,NA,NA,NA,49.52,34.92,62.12,NA,0,0,0,NA,NA,NA
36678300000000_2712,36678300000000_2712,0.1,0,44.44,0,55.56,100,42.47,NA,NA,85,NA,NA,NA,84.73,34.44,34.8,46.85,0,0,0,NA,NA,4.05
36678300000000_2989,36678300000000_2989,0.1,0,38.55,0,61.45,100,42.61,2007,NA,85,34.71,0.56,NA,84.73,34.44,34.8,NA,0,0,0,NA,2659.5,76.62
36738900000000_3230,36738900000000_3230,0.1,0,26.9,0,73.1,100,42.22,NA,NA,82,NA,NA,NA,202.56,34.44,49.06,13.85,0,0,0,NA,NA,15.83
36738900000000_3850,36738900000000_3850,0.1,0,36.59,0,63.41,100,41.39,NA,48688,82,NA,NA,NA,202.56,34.44,49.06,26.25,0,0,0,NA,NA,13.59
36675900000000_34,36675900000000_34,0.11,0,46.86,0,53.14,100,44.65,1990,NA,91,NA,NA,NA,97.5,34.44,36.23,59.8,0,0,0,NA,NA,7.51
36675900000000_35,36675900000000_35,0.11,0,55.62,0,44.38,100,45.54,1990,NA,91,NA,NA,NA,97.5,34.44,36.23,59.8,0,0,0,NA,NA,7.51
36676100000000_181,36676100000000_181,0.11,0,62.86,0,37.14,100,42.03,1915,NA,64,NA,NA,NA,202.56,34.44,41.21,41,0,0,0,NA,NA,6.75
36676100000000_183,36676100000000_183,0.11,0,91.85,0,8.15,100,42.05,1964,24438,64,NA,NA,NA,202.56,34.44,31.43,48.2,0,0,0,NA,NA,26.25
15737400000000_308,15737400000000_308,0.11,0,60.16,0,39.84,100,42.03,1945,38177,51,NA,NA,NA,70.82,27.08,30.15,22,0,0,0,NA,NA,43.57
15737400000000_309,15737400000000_309,0.11,0,70.74,0,29.26,100,42.22,1945,38177,51,NA,NA,NA,70.82,27.08,30.15,22,0,0,0,NA,NA,43.57
30103100000000_503,30103100000000_503,0.11,0,100,0,0,100,40.77,2015,62083,83,58.84,NA,NA,34.18,22.48,63.09,NA,0,0,0,NA,431,7.33
30103100000000_504,30103100000000_504,0.11,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40.77,2015,62083,83,58.84,NA,NA,34.18,22.48,63.09,NA,0,0,0,NA,431,7.33
30103100000000_505,30103100000000_505,0.11,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40.77,2015,62083,83,58.84,NA,NA,34.18,22.48,63.09,NA,0,0,0,NA,431,7.33
30103100000000_512,30103100000000_512,0.11,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40.77,2015,62083,83,58.84,NA,NA,34.18,22.48,63.09,NA,0,0,0,NA,431,7.33
30103100000000_513,30103100000000_513,0.11,0,100,0,0,100,40.7,2015,62083,83,58.84,NA,NA,34.18,22.48,63.09,NA,0,0,0,NA,431,7.33
30103100000000_519,30103100000000_519,0.11,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40.77,2015,62083,83,58.84,NA,NA,34.18,22.48,63.09,NA,0,0,0,NA,431,7.33
30103100000000_520,30103100000000_520,0.11,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40.77,2015,62083,83,58.84,NA,NA,34.18,22.48,63.09,NA,0,0,0,NA,431,7.33
36676100000000_591,36676100000000_591,0.11,0,77.82,0,22.18,100,42.41,1965,64625,64,NA,NA,NA,202.56,34.44,31.43,66.2,0,0,0,NA,NA,17
36676100000000_594,36676100000000_594,0.11,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,42.41,1965,64625,64,NA,NA,NA,202.56,34.44,31.43,66.2,0,0,0,NA,NA,17
36675900000000_1108,36675900000000_1108,0.11,0,50.56,0,49.44,100,42.46,2004,NA,91,NA,NA,NA,97.5,34.44,36.23,20.1,0,0,0,NA,NA,11.5
36676100000000_1689,36676100000000_1689,0.11,0,68.02,0,31.98,100,42.42,NA,NA,64,NA,NA,NA,191.49,34.44,38.04,50.8,0,0,0,NA,NA,19.5
19648700000000_1693,19648700000000_1693,0.11,0,100,0,0,100,39.53,2004,41660,6,NA,NA,NA,52.77,34.92,68.53,31.6,0,0,0,NA,NA,21.06
36750500000000_1792,36750500000000_1792,0.11,0,32.99,0,67.01,100,43.32,NA,36100,83,NA,NA,NA,81.42,34.44,30.58,43.05,0,0,0,NA,NA,14.74
36677700000000_2397,36677700000000_2397,0.11,0,25,0,75,100,43.39,NA,36100,0,NA,NA,NA,81.42,34.44,30.58,NA,0,0,0,NA,NA,NA
36676100000000_2451,36676100000000_2451,0.11,0,56.68,0,43.32,100,41.4,NA,NA,64,NA,NA,NA,202.56,34.44,48.03,NA,0,0,0,NA,NA,NA
19753300000000_2681,19753300000000_2681,0.11,4.92,93.06,0,2.02,100,33.19,NA,211513,3,NA,NA,NA,12.51,34.92,28.28,6.5,0,0,0,NA,NA,12
36676100000000_3247,36676100000000_3247,0.11,0,41.67,0,58.33,100,43.05,NA,53281,64,NA,NA,NA,202.56,34.44,36.11,40.65,0,0,0,NA,NA,12.75
36675900000000_3387,36675900000000_3387,0.11,0,70.51,0,29.49,100,43.98,2013,NA,91,154.55,NA,NA,97.5,34.44,36.23,NA,0,0,0,NA,425,2.75
36675900000000_3388,36675900000000_3388,0.11,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,44.02,2013,NA,91,154.55,NA,NA,97.5,34.44,36.23,NA,0,0,0,NA,425,2.75
36677800000000_3500,36677800000000_3500,0.11,0,33.28,0,66.72,100,43.91,1950,66538,84,NA,NA,NA,36.78,34.44,24.04,22.25,0,0,0,NA,NA,17.72
36677800000000_3501,36677800000000_3501,0.11,0,58.93,0,41.07,100,44.01,NA,93767,84,NA,NA,NA,36.78,34.44,18.04,33.2,0,0,0,NA,NA,25.35
30666500000000_3561,30666500000000_3561,0.11,0,100,0,0,100,40.72,2008,48594,40,NA,NA,NA,33.43,22.48,69.97,16.95,0,0,0,NA,NA,15
36738900000000_3848,36738900000000_3848,0.11,0,43.36,0,56.64,100,41.09,NA,48688,82,NA,NA,NA,202.56,34.44,49.06,26.25,0,0,0,NA,NA,13.59
36738900000000_3849,36738900000000_3849,0.11,0,28.95,0,71.05,100,41.09,NA,48688,82,NA,NA,NA,202.56,34.44,49.06,26.25,0,0,0,NA,NA,13.59
36675900000000_32,36675900000000_32,0.12,0,51.36,0,48.64,100,45.1,1990,NA,91,NA,NA,NA,97.5,34.44,36.23,59.8,0,0,0,NA,NA,7.51
36675900000000_33,36675900000000_33,0.12,0,80.69,0,19.31,100,45.23,1990,NA,91,NA,NA,NA,97.5,34.44,36.23,59.8,0,0,0,NA,NA,7.51
36675900000000_36,36675900000000_36,0.12,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,45.1,1990,NA,91,NA,NA,NA,97.5,34.44,36.23,59.8,0,0,0,NA,NA,7.51
19646300000000_476,19646300000000_476,0.12,0,100,0,0,100,37.83,2001,42308,49,163.5,NA,NA,99.47,34.92,50.73,NA,0,0,0,NA,327,2
30103100000000_502,30103100000000_502,0.12,0,99.52,0,0.48,100,40.86,2015,62083,83,58.84,NA,NA,34.18,22.48,63.09,NA,0,0,0,NA,431,7.33
30103100000000_511,30103100000000_511,0.12,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40.86,2015,62083,83,58.84,NA,NA,34.18,22.48,63.09,NA,0,0,0,NA,431,7.33
30103100000000_514,30103100000000_514,0.12,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40.86,2015,62083,83,58.84,NA,NA,34.18,22.48,63.09,NA,0,0,0,NA,431,7.33
30103100000000_515,30103100000000_515,0.12,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40.86,2015,62083,83,58.84,NA,NA,34.18,22.48,63.09,NA,0,0,0,NA,431,7.33
30103100000000_516,30103100000000_516,0.12,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40.86,2015,62083,83,58.84,NA,NA,34.18,22.48,63.09,NA,0,0,0,NA,431,7.33
30103100000000_517,30103100000000_517,0.12,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40.86,2015,62083,83,58.84,NA,NA,34.18,22.48,63.09,NA,0,0,0,NA,431,7.33
30103100000000_518,30103100000000_518,0.12,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40.86,2015,62083,83,58.84,NA,NA,34.18,22.48,63.09,NA,0,0,0,NA,431,7.33
30103100000000_521,30103100000000_521,0.12,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40.86,2015,62083,83,58.84,NA,NA,34.18,22.48,63.09,NA,0,0,0,NA,431,7.33
30103100000000_522,30103100000000_522,0.12,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40.86,2015,62083,83,58.84,NA,NA,34.18,22.48,63.09,NA,0,0,0,NA,431,7.33
30103100000000_523,30103100000000_523,0.12,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40.86,2015,62083,83,58.84,NA,NA,34.18,22.48,63.09,NA,0,0,0,NA,431,7.33
19649070000000_686,19649070000000_686,0.12,0,100,0,0,100,38.77,NA,32000,0,NA,NA,161,81.58,34.92,57.05,30.2,0,0,0,NA,1590,NA
19649070000000_714,19649070000000_714,0.12,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,38.77,NA,32000,0,NA,NA,161,81.58,34.92,57.05,30.2,0,0,0,NA,1590,NA
36679180000000_728,36679180000000_728,0.12,0,71.18,0,28.82,100,42.78,NA,NA,0,NA,NA,55,99.69,34.44,33.3,34.55,0,0,0,NA,485,NA
19642460000000_747,19642460000000_747,0.12,0,98.63,0,1.37,100,41.7,NA,29167,0,NA,NA,278.5,158.01,34.92,44.3,29.3,0,0,0,NA,1805,NA
19642460000000_748,19642460000000_748,0.12,0,100,0,0,100,41.7,NA,29167,0,NA,NA,278.5,158.01,34.92,44.3,29.3,0,0,0,NA,1805,NA
19642460000000_754,19642460000000_754,0.12,0,96.36,0,3.64,100,41.61,NA,29167,0,NA,NA,278.5,158.01,34.92,44.3,29.3,0,0,0,NA,1805,NA
19642460000000_764,19642460000000_764,0.12,0,96.62,0,3.38,100,41.52,NA,29167,0,NA,NA,278.5,158.01,34.92,44.3,29.3,0,0,0,NA,1805,NA
19642460000000_765,19642460000000_765,0.12,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,41.52,NA,29167,0,NA,NA,278.5,158.01,34.92,44.3,29.3,0,0,0,NA,1805,NA
36103600000000_982,36103600000000_982,0.12,0.56,64.22,0,35.22,100,39.59,1995,NA,86,166.46,NA,NA,107.74,34.44,28.87,NA,0,0,0,NA,2397,14.4
36103600000000_983,36103600000000_983,0.12,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,39.59,1995,NA,86,166.46,NA,NA,107.74,34.44,28.87,NA,0,0,0,NA,2397,14.4
36103600000000_984,36103600000000_984,0.12,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,39.59,1995,NA,86,166.46,NA,NA,107.74,34.44,28.87,NA,0,0,0,NA,2397,14.4
36103600000000_985,36103600000000_985,0.12,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,39.59,1995,NA,86,166.46,NA,NA,107.74,34.44,28.87,NA,0,0,0,NA,2397,14.4
36679200000000_1078,36679200000000_1078,0.12,0,74.72,0,25.28,100,41.28,2005,32237,95,NA,NA,NA,100.21,34.44,41.43,19.3,0,0,0,NA,NA,16.96
19646300000000_1369,19646300000000_1369,0.12,0,100,0,0,100,37.89,NA,43333,49,NA,NA,NA,99.47,34.92,50.73,29.45,0,0,0,NA,NA,21.88
19734400000000_1922,19734400000000_1922,0.12,0,99.58,0,0.42,100,40.97,NA,96019,89,NA,NA,NA,79.8,34.92,66.09,21.05,0,0,0,NA,NA,15.94
36678300000000_2003,36678300000000_2003,0.12,0,34.92,0,65.08,100,44.21,2018,NA,85,129.09,NA,NA,83.83,34.44,19.13,NA,0,0,0,NA,1049.5,8.13
