UID,School_ID,NDVI_median,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,Percent_LandCoverTotal,Land_Surface_Temp,Year_built,Median_income_BG,Percent_FRPM,Student_Staff_Ratio,Diversity_Index,Students_Disabilities,Asthma_Rates,COVID_infections,Pollution_Burden,Chronic_Absenteeism,retrofit,ndvi_median_binary,retrofit_and_ndvi,Average_NDVI_median,StudentEnrollment_mean,Staff
57700000000000_35,57700000000000_35,0.19,0,100,0,0,100,28.11,1912,78750,59.5,NA,NA,42.5,51.44,64.45,45.88,17.55,0,0,0,NA,NA,16.75
1750000000000_36,1750000000000_36,0.15,0,97.64,0,2.36,100,28.17,2007,246548,NA,NA,NA,NA,32.04,19.56,30.77,4.65,0,0,0,NA,NA,14.04
7620000000000_37,7620000000000_37,0.2,0.48,64.06,11.95,23.51,100,27.08,1962,159167,NA,NA,NA,NA,16.2,21.42,36.96,6.25,1,0,0,NA,NA,24.29
39700000000000_38,39700000000000_38,0.14,0,100,0,0,100,30.77,1921,30978,88.5,NA,NA,NA,98.75,49.49,58.55,41.4,0,0,0,NA,NA,13.41
10600000000000_39,10600000000000_39,0.17,0,100,0,0,100,29.52,1957,117370,NA,NA,NA,NA,71.87,29.25,56.21,17.1,0,0,0,NA,NA,NA
43700000000000_40,43700000000000_40,0.13,0,100,0,0,100,29.08,1963,176750,6.5,NA,NA,NA,9.84,52.82,41.31,2.15,0,0,0,NA,NA,15.42
27800000000000_41,27800000000000_41,0.12,0,100,0,0,100,25.68,2019,54607,NA,NA,NA,NA,49.82,39.52,45.09,NA,0,0,0,NA,NA,NA
40800000000000_45,40800000000000_45,0.13,0,95.7,1.51,2.79,100,31.36,2003,87344,59,NA,NA,NA,46.01,50.32,41.76,26.05,1,0,0,NA,NA,14.63
40800000000000_46,40800000000000_46,0.13,NA,NA,NA,NA,NA,31.36,2003,87344,59,NA,NA,NA,46.01,50.32,41.76,26.05,1,0,0,NA,NA,14.63
40800000000000_47,40800000000000_47,0.13,0,100,0,0,100,31.54,2003,87344,59,NA,NA,NA,46.01,50.32,41.76,26.05,1,0,0,NA,NA,14.63
40800000000000_48,40800000000000_48,0.15,9.38,60.58,1.74,28.3,100,31.03,1948,87344,54.5,NA,NA,NA,46.01,50.32,41.76,37.65,0,0,0,NA,NA,18.63
40700000000000_50,40700000000000_50,0.19,0,78.35,1.63,20.02,100,26.24,1993,92500,69,NA,NA,NA,44.99,50.32,34.66,18.7,0,0,0,NA,NA,13.73
15600000000000_51,15600000000000_51,0.13,0,100,0,0,100,31.36,1999,36250,83.5,NA,NA,NA,45.4,27.08,54.21,39.35,0,0,0,NA,NA,19.79
10600000000000_53,10600000000000_53,0.14,0,100,0,0,100,29.83,1996,91695,40,NA,NA,NA,37.05,29.25,35.98,18.8,0,0,0,NA,NA,12.81
10600000000000_55,10600000000000_55,0.15,0.15,48.18,0,51.67,100,29.89,1949,131042,81.5,NA,NA,NA,56.04,29.25,59.95,26.1,1,0,0,NA,NA,15.33
10600000000000_56,10600000000000_56,0.12,0,100,0,0,100,29.91,1953,45774,83.5,NA,NA,NA,50.56,29.25,50.33,34.4,1,0,0,NA,NA,15.63
10600000000000_57,10600000000000_57,0.14,2.23,97.69,0,0.08,100,29.39,1969,111719,55.5,NA,NA,NA,43.29,29.25,36.63,22.45,1,0,0,NA,NA,47.09
10600000000000_58,10600000000000_58,0.12,0,100,0,0,100,29.9,1969,50438,63.5,NA,NA,NA,103.13,29.25,49.65,19.5,1,0,0,NA,NA,21.83
10600000000000_59,10600000000000_59,0.13,0,100,0,0,100,30.26,1969,50438,63.5,NA,NA,NA,50.56,29.25,50.33,19.5,1,0,0,NA,NA,21.83
