Order,School_ID,NDVI_median,NDVI_Under_Over_Avg,Land_Surface_Temp
4129,41700000000000_223,0.11,Below Average,27.22
4138,42700000000000_403,0.11,Below Average,29.12
16,43700000000000_16,0.12,Below Average,28.48
23,58100000000000_24,0.12,Below Average,28.35
24,27700000000000_25,0.12,Below Average,25.9
30,1750000000000_31,0.12,Below Average,28.2
40,27800000000000_41,0.12,Below Average,25.68
49,10600000000000_56,0.12,Below Average,29.91
51,10600000000000_58,0.12,Below Average,29.9
126,7620000000000_136,0.12,Below Average,29.67
128,42700000000000_138,0.12,Below Average,27.67
147,43700000000000_158,0.12,Below Average,28.55
153,39700000000000_164,0.12,Below Average,29.55
156,39700000000000_167,0.12,Below Average,30.61
167,43700000000000_178,0.12,Below Average,29.28
173,15600000000000_184,0.12,Below Average,33.16
181,1610000000000_192,0.12,Below Average,27.61
183,15700000000000_194,0.12,Below Average,32.8
186,43700000000000_197,0.12,Below Average,28.86
188,1610000000000_201,0.12,Below Average,29.05
190,1610000000000_203,0.12,Below Average,28.85
193,1610000000000_206,0.12,Below Average,28.95
199,43700000000000_212,0.12,Below Average,28.89
202,15600000000000_215,0.12,Below Average,32.66
217,27700000000000_232,0.12,Below Average,23.3
229,41700000000000_245,0.12,Below Average,27.6
236,7620000000000_252,0.12,Below Average,30.86
251,43700000000000_268,0.12,Below Average,29.04
252,10700000000000_269,0.12,Below Average,31.17
254,39700000000000_271,0.12,Below Average,30.48
296,44700000000000_316,0.12,Below Average,26.78
316,7620000000000_336,0.12,Below Average,29.23
329,43700000000000_349,0.12,Below Average,29.45
333,43700000000000_354,0.12,Below Average,29.42
377,42700000000000_400,0.12,Below Average,28.8
378,42700000000000_401,0.12,Below Average,28.95
379,42700000000000_402,0.12,Below Average,28.79
381,42700000000000_405,0.12,Below Average,28.54
387,1610000000000_411,0.12,Below Average,30.79
394,1610000000000_418,0.12,Below Average,30.39
401,15600000000000_426,0.12,Below Average,33.05
402,15600000000000_427,0.12,Below Average,32.99
406,15600000000000_431,0.12,Below Average,33.8
417,10600000000000_444,0.12,Below Average,31.48
439,10600000000000_467,0.12,Below Average,30.86
444,10600000000000_472,0.12,Below Average,31.08
458,10600000000000_489,0.12,Below Average,32.48
467,10600000000000_499,0.12,Below Average,31.68
587,19646300000000_476,0.12,Below Average,37.83
598,19649070000000_686,0.12,Below Average,38.77
600,36679180000000_728,0.12,Below Average,42.78
601,19642460000000_747,0.12,Below Average,41.7
606,36103600000000_982,0.12,Below Average,39.59
610,36679200000000_1078,0.12,Below Average,41.28
611,19646300000000_1369,0.12,Below Average,37.89
612,19734400000000_1922,0.12,Below Average,40.97
613,36678300000000_2003,0.12,Below Average,44.21
615,36678300000000_2007,0.12,Below Average,41.59
618,19646300000000_2173,0.12,Below Average,37.92
619,15737400000000_2227,0.12,Below Average,43.22
620,14632700000000_2324,0.12,Below Average,41.97
622,36678800000000_2399,0.12,Below Average,41.02
623,19744300000000_2485,0.12,Below Average,37.58
624,36738900000000_2592,0.12,Below Average,43.17
625,36679200000000_2858,0.12,Below Average,41.52
626,36750800000000_2972,0.12,Below Average,39.93
627,33103300000000_2984,0.12,Below Average,39.78
628,36677400000000_2991,0.12,Below Average,41.33
629,36677800000000_3502,0.12,Below Average,43.91
630,15636900000000_3702,0.12,Below Average,43.08
631,36675900000000_3707,0.12,Below Average,42.34
1562,19650600000000_1003,0.12,Below Average,37.76
1563,19734500000000_2464,0.12,Below Average,40.66
1564,36679300000000_2688,0.12,Below Average,43.7
1566,19649100000000_2835,0.12,Below Average,38.77
1570,15101600000000_2948,0.12,Below Average,43.36
1571,19642500000000_3776,0.12,Below Average,43.35
4131,7620000000000_255,0.12,Below Average,31.08
4144,10600000000000_478,0.12,Below Average,31.16
1,27800000000000_1,0.13,Below Average,26.74
2,27800000000000_2,0.13,Below Average,26.83
39,43700000000000_40,0.13,Below Average,29.08
41,40800000000000_45,0.13,Below Average,31.36
46,15600000000000_51,0.13,Below Average,31.36
60,43700000000000_67,0.13,Below Average,27.96
85,10600000000000_94,0.13,Below Average,31.64
93,15700000000000_103,0.13,Below Average,32.41
109,1610000000000_119,0.13,Below Average,25.82
121,43700000000000_131,0.13,Below Average,29.07
122,43700000000000_132,0.13,Below Average,28.83
124,43700000000000_134,0.13,Below Average,29.58
133,28700000000000_143,0.13,Below Average,29.95
134,10800000000000_144,0.13,Below Average,31.98
158,40700000000000_169,0.13,Below Average,28.36
161,10600000000000_172,0.13,Below Average,28.92
166,27700000000000_177,0.13,Below Average,25.77
177,1610000000000_188,0.13,Below Average,27.58
180,1610000000000_191,0.13,Below Average,27.36
185,10700000000000_196,0.13,Below Average,31.08
228,15600000000000_244,0.13,Below Average,32.92
234,15600000000000_250,0.13,Below Average,33.28
261,15600000000000_278,0.13,Below Average,32.67
262,39700000000000_279,0.13,Below Average,30.88
264,15700000000000_281,0.13,Below Average,32.64
278,1610000000000_295,0.13,Below Average,27.2
279,1610000000000_296,0.13,Below Average,27.29
294,43700000000000_314,0.13,Below Average,29.14
304,43700000000000_324,0.13,Below Average,26.82
308,43700000000000_328,0.13,Below Average,29.92
332,44700000000000_353,0.13,Below Average,23.91
336,43700000000000_358,0.13,Below Average,28.97
345,7620000000000_367,0.13,Below Average,27.8
372,44700000000000_395,0.13,Below Average,26.04
396,1610000000000_420,0.13,Below Average,29.8
399,15600000000000_423,0.13,Below Average,31.39
413,15600000000000_440,0.13,Below Average,32.92
416,10600000000000_443,0.13,Below Average,30.73
422,10600000000000_450,0.13,Below Average,30.86
426,10600000000000_454,0.13,Below Average,31.45
432,10600000000000_460,0.13,Below Average,31.21
434,10600000000000_462,0.13,Below Average,30.86
436,10600000000000_464,0.13,Below Average,31.14
437,10600000000000_465,0.13,Below Average,30.67
445,10600000000000_473,0.13,Below Average,31.55
451,10600000000000_482,0.13,Below Average,31.35
457,10600000000000_488,0.13,Below Average,31.8
469,10600000000000_501,0.13,Below Average,31.31
472,39700000000000_504,0.13,Below Average,29.2
492,39700000000000_524,0.13,Below Average,30.27
632,36750500000000_78,0.13,Below Average,41.59
633,19648100000000_164,0.13,Below Average,41.03
635,15636900000000_257,0.13,Below Average,42.53
637,19642100000000_412,0.13,Below Average,38.22
644,30739240000000_656,0.13,Below Average,38.46
646,19645300000000_913,0.13,Below Average,39.97
647,15737400000000_995,0.13,Below Average,44.74
648,36750500000000_1191,0.13,Below Average,43.09
649,19646000000000_1271,0.13,Below Average,34.15
650,36677400000000_1361,0.13,Below Average,40.79
651,19734400000000_1396,0.13,Below Average,39.27
652,36677800000000_1503,0.13,Below Average,43.95
659,36676100000000_2396,0.13,Below Average,43.2
668,10623800000000_2417,0.13,Below Average,38.96
669,19645200000000_2446,0.13,Below Average,40.47
670,36750800000000_2809,0.13,Below Average,39.53
671,19734600000000_3009,0.13,Below Average,40.4
674,15637800000000_3035,0.13,Below Average,44.79
677,36678800000000_3250,0.13,Below Average,40.59
678,19102000000000_3691,0.13,Below Average,38.61
682,33670800000000_3746,0.13,Below Average,41.68
1572,36679300000000_37,0.13,Below Average,44.09
1573,19642500000000_98,0.13,Below Average,41.91
1574,19647300000000_148,0.13,Below Average,40.77
1575,19644800000000_939,0.13,Below Average,44.52
1582,19649100000000_2771,0.13,Below Average,39.54
1584,19642500000000_2811,0.13,Below Average,43.99
1585,19647300000000_2922,0.13,Below Average,38.22
1586,19647300000000_2925,0.13,Below Average,38.17
1587,19647300000000_3022,0.13,Below Average,38.39
1588,36679300000000_3234,0.13,Below Average,41.15
1590,19647300000000_3295,0.13,Below Average,38.4
4124,39700000000000_97,0.13,Below Average,28.67
4140,15600000000000_435,0.13,Below Average,32.99
4193,15637700000000_2366,0.13,Below Average,36.24
5,42700000000000_5,0.14,Below Average,29.83
22,31800000000000_23,0.14,Below Average,28.83
31,31800000000000_32,0.14,Below Average,28.64
32,1610000000000_33,0.14,Below Average,29.86
37,39700000000000_38,0.14,Below Average,30.77
47,10600000000000_53,0.14,Below Average,29.83
50,10600000000000_57,0.14,Below Average,29.39
56,10600000000000_63,0.14,Below Average,27.64
64,43700000000000_72,0.14,Below Average,27.02
143,43700000000000_154,0.14,Below Average,28.13
144,43700000000000_155,0.14,Below Average,27.92
160,28700000000000_171,0.14,Below Average,27.42
163,28700000000000_174,0.14,Below Average,29.61
187,1610000000000_200,0.14,Below Average,27.45
194,57700000000000_207,0.14,Below Average,30.2
200,20700000000000_213,0.14,Below Average,31.11
205,41700000000000_218,0.14,Below Average,27.1
219,15600000000000_234,0.14,Below Average,33.66
223,1750000000000_239,0.14,Below Average,28.77
224,1750000000000_240,0.14,Below Average,28.58
225,1750000000000_241,0.14,Below Average,28.61
230,10600000000000_246,0.14,Below Average,29.76
237,7620000000000_253,0.14,Below Average,27.04
249,10600000000000_266,0.14,Below Average,28.09
258,10700000000000_275,0.14,Below Average,29.34
268,10600000000000_285,0.14,Below Average,31.43
291,48700000000000_308,0.14,Below Average,29.38
318,44800000000000_338,0.14,Below Average,25.96
324,10700000000000_344,0.14,Below Average,31.18
337,43700000000000_359,0.14,Below Average,28.89
361,15600000000000_383,0.14,Below Average,32.78
368,44700000000000_391,0.14,Below Average,26.24
384,52700000000000_408,0.14,Below Average,29.73
