Order,UID,School_ID,CDS_Code,char_prem_id,NDVI_median,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,Percent_LandCoverTotal,Land_Surface_Temp,Year_built,Median_income_BG,Percent_FRPM,StudentEnrollment_mean,Staff,Student_Staff_Ratio,Diversity_Index,Students_with_Disabilities,Asthma_Rates,COVID_infections,Pollution_Burden,Chronic_Absenteeism,EEM,EE_Retrofit_Type,retrofit,ndvi_median_binary,retrofit_and_ndvi,Average_NDVI_median
25,16700000000000_26,16700000000000_26,1.673932e+13,1211578055,0.1,0,73.91,0,26.09,100,34.95,NA,59024,NA,NA,NA,NA,NA,NA,45.07,42.51,20.5,25.95,Lighting- Interior Fixture Retrofit,Lighting,1,0,0,NA
26,31800000000000_27,31800000000000_27,3.17509E+13,1293441923,0.18,0.88,83.23,2.96,12.94,100,26.58,1992,142738,15,NA,49.86,NA,NA,NA,25.19,42.85,19.65,13.95,NA,NA,0,0,0,NA
27,42700000000000_28,42700000000000_28,4.26912E+13,1316263193,0.17,0,41.78,0,58.22,100,28.67,1961,67130,89,NA,13.38,NA,NA,NA,41.05,51.99,33.96,20.65,Lighting- Interior Fixture Retrofit,Lighting,0,0,0,NA
28,42700000000000_29,42700000000000_29,4.26923E+13,1335294241,0.19,0,52.22,21.43,26.35,100,26.92,1966,98429,35.5,NA,32.13,NA,NA,NA,44.75,51.99,31.91,22.2,Lighting- Interior Fixture Retrofit,Lighting,0,0,0,NA
29,31800000000000_30,31800000000000_30,3.17509E+13,1498082797,0.2,1.74,79.41,0.73,18.12,100,26.92,2001,155804,8,NA,12.9,NA,NA,NA,25.53,42.85,11.84,7.05,NA,NA,0,0,0,NA
30,1750000000000_31,1750000000000_31,1.75093E+12,1514270794,0.12,0,94.99,0,5.01,100,28.2,2005,250000,NA,NA,20.2,NA,NA,NA,32.04,19.56,30.77,2.1,NA,NA,0,0,0,NA
31,31800000000000_32,31800000000000_32,3.175085e+13,1518884839,0.14,0.26,80.99,11.33,7.42,100,28.64,1952,78036,NA,1954.5,NA,NA,NA,221,47.46,42.85,38.96,13.1,NA,NA,0,0,0,NA
32,1610000000000_33,1610000000000_33,1.61201E+12,1553860659,0.14,0,97.37,0,2.63,100,29.86,1960,157500,NA,NA,17.42,NA,NA,NA,31.1,19.56,24.21,7.35,NA,NA,1,0,0,NA
33,54700000000000_34,54700000000000_34,5.47186E+13,1631302398,0.17,0,88.8,0,11.2,100,29.39,NA,52688,95,NA,28.38,NA,NA,NA,NA,61.96,NA,19.45,Lighting Controls,Lighting,1,0,0,NA
34,57700000000000_35,57700000000000_35,5.77271E+13,1658104501,0.19,0,100,0,0,100,28.11,1912,78750,59.5,NA,16.75,NA,NA,42.5,51.44,64.45,45.88,17.55,Lighting- Exterior Fixture Retrofit,Lighting,0,0,0,NA
35,1750000000000_36,1750000000000_36,1.75093E+12,1701841926,0.15,0,97.64,0,2.36,100,28.17,2007,246548,NA,NA,14.04,NA,NA,NA,32.04,19.56,30.77,4.65,NA,NA,0,0,0,NA
36,7620000000000_37,7620000000000_37,7.6163E+12,1744410309,0.2,0.48,64.06,11.95,23.51,100,27.08,1962,159167,NA,NA,24.29,NA,NA,NA,16.2,21.42,36.96,6.25,NA,NA,1,0,0,NA
37,39700000000000_38,39700000000000_38,3.96868E+13,1772718074,0.14,0,100,0,0,100,30.77,1921,30978,88.5,NA,13.41,NA,NA,NA,98.75,49.49,58.55,41.4,HVAC- Packaged/Split System AC/Heat Pump/VRF,HVAC,0,0,0,NA
38,10600000000000_39,10600000000000_39,1.062257e+13,1780265238,0.17,0,100,0,0,100,29.52,1957,117370,NA,NA,NA,NA,NA,NA,71.87,29.25,56.21,17.1,"Pumps, Motors, Drives- Variable Frequency Drives",Pumps_Motors_Drives,0,0,0,NA
39,43700000000000_40,43700000000000_40,4.36942E+13,1814433759,0.13,0,100,0,0,100,29.08,1963,176750,6.5,NA,15.42,NA,NA,NA,9.84,52.82,41.31,2.15,HVAC- VAV System,HVAC,0,0,0,NA
40,27800000000000_41,27800000000000_41,2.77547E+13,1887237777,0.12,0,100,0,0,100,25.68,2019,54607,NA,NA,NA,NA,NA,NA,49.82,39.52,45.09,NA,Lighting- Interior Fixture Retrofit,Lighting,0,0,0,NA
41,40800000000000_45,40800000000000_45,4.07546E+13,1887279497,0.13,0,95.7,1.51,2.79,100,31.36,2003,87344,59,NA,14.63,NA,NA,NA,46.01,50.32,41.76,26.05,Lighting - Interior Linear Fluorescent  Relamping,Lighting,1,0,0,NA
42,40800000000000_46,40800000000000_46,4.07546E+13,1887280540,0.13,NA,NA,NA,NA,NA,31.36,2003,87344,59,NA,14.63,NA,NA,NA,46.01,50.32,41.76,26.05,Lighting - Interior Linear Fluorescent  Relamping,Lighting,1,0,0,NA
43,40800000000000_47,40800000000000_47,4.07546E+13,1887283669,0.13,0,100,0,0,100,31.54,2003,87344,59,NA,14.63,NA,NA,NA,46.01,50.32,41.76,26.05,Lighting - Interior Linear Fluorescent  Relamping,Lighting,1,0,0,NA
44,40800000000000_48,40800000000000_48,4.07546E+13,1887288884,0.15,9.38,60.58,1.74,28.3,100,31.03,1948,87344,54.5,NA,18.63,NA,NA,NA,46.01,50.32,41.76,37.65,Lighting - Interior Linear Fluorescent  Relamping,Lighting,0,0,0,NA
45,40700000000000_50,40700000000000_50,4.06876E+13,1897582476,0.19,0,78.35,1.63,20.02,100,26.24,1993,92500,69,NA,13.73,NA,NA,NA,44.99,50.32,34.66,18.7,NA,NA,0,0,0,NA
46,15600000000000_51,15600000000000_51,1.56358E+13,2022739961,0.13,0,100,0,0,100,31.36,1999,36250,83.5,NA,19.79,NA,NA,NA,45.4,27.08,54.21,39.35,Building Envelope- Windows/Skylights,Building_Envelope,0,0,0,NA
47,10600000000000_53,10600000000000_53,1.06212E+13,2043514885,0.14,0,100,0,0,100,29.83,1996,91695,40,NA,12.81,NA,NA,NA,37.05,29.25,35.98,18.8,NA,NA,0,0,0,NA
48,10600000000000_55,10600000000000_55,1.06212E+13,2043520100,0.15,0.15,48.18,0,51.67,100,29.89,1949,131042,81.5,NA,15.33,NA,NA,NA,56.04,29.25,59.95,26.1,NA,NA,1,0,0,NA
49,10600000000000_56,10600000000000_56,1.06212E+13,2043526358,0.12,0,100,0,0,100,29.91,1953,45774,83.5,NA,15.63,NA,NA,NA,50.56,29.25,50.33,34.4,NA,NA,1,0,0,NA
50,10600000000000_57,10600000000000_57,1.06212E+13,2043532616,0.14,2.23,97.69,0,0.08,100,29.39,1969,111719,55.5,NA,47.09,NA,NA,NA,43.29,29.25,36.63,22.45,NA,NA,1,0,0,NA
51,10600000000000_58,10600000000000_58,1.06212E+13,2043536788,0.12,0,100,0,0,100,29.9,1969,50438,63.5,NA,21.83,NA,NA,NA,103.13,29.25,49.65,19.5,NA,NA,1,0,0,NA
52,10600000000000_59,10600000000000_59,1.06212E+13,2043537831,0.13,0,100,0,0,100,30.26,1969,50438,63.5,NA,21.83,NA,NA,NA,50.56,29.25,50.33,19.5,NA,NA,1,0,0,NA
53,10600000000000_60,10600000000000_60,1.06212E+13,2043547218,0.15,2.66,96.71,0,0.62,100,29.8,1958,74545,68.5,NA,16.45,NA,NA,NA,103.13,29.25,47.83,24.65,NA,NA,0,0,0,NA
