Order,School_ID,NDVI_median,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,Land_Surface_Temp,Year_built,Median_income_BG,Percent_FRPM,Staff,Students_with_Disabilities,Asthma_Rates,COVID_infections,Pollution_Burden,Chronic_Absenteeism,retrofit,ndvi_median_binary,retrofit_and_ndvi,EEM,EE_Retrofit_Type,char_prem_id,Utility,LONGITUDE,LATITUDE,char_prem_id,CDSCode,CDSCode_2,NCES
69,29700000000000_77,0.28,0.48,16.92,77.2,5.4,23.76,1985,92413,28,9.01,14.5,25.99,18.13,28.75,19.85,1,1,1,Lighting- Interior Fixture Retrofit,Lighting,2158181651,Pacfic Gas and Electric Company,-121.0418,39.11874,2158181651,29663736105811,29663736105811,63093008942
70,54700000000000_78,0.18,0,89.31,0,10.69,29.26,1966,46111,97,7.33,13,35.41,19.56,49.87,26.6,1,0,0,Lighting Controls,Lighting,2293579535,Pacfic Gas and Electric Company,-119.3357,36.54432,2293579535,5.472009e+13,5.472009e+13,6.25e+10
71,1610000000000_79,0.1,0,100,0,0,28.24,2005,76639,100,3,98.5,95.62,19.56,37.23,55.45,0,0,0,,,2319663954,Pacfic Gas and Electric Company,-122.1146,37.66982,2319663954,1613090111799,1613090111799,63471011567
72,4610000000000_80,0.22,0,100,0,0,26.2,1953,86798,59,22.56,142.5,46.31,19.73,49.15,27,0,0,0,,,2408217097,Pacfic Gas and Electric Company,-121.8389,39.73473,2408217097,4614246057137,4614246057137,60837000814
73,4610000000000_81,0.17,0,100,0,0,28.08,2005,51714,98,12.05,336,99.47,29.25,22.65,96.05,0,0,0,,,2408230656,Pacfic Gas and Electric Company,-121.8587,39.75922,2408230656,4614240431502,4614240431502,60837000818
74,4610000000000_82,0.16,0.57,96.39,0,3.04,29.17,1963,45278,24,20.85,112.5,51.79,64.45,54.45,14.45,0,0,0,,,2418406389,Pacfic Gas and Electric Company,-121.8841,39.78024,2418406389,4614246003099,4614246003099,60837000829
75,4610000000000_83,0.21,0,100,0,0,26.36,1936,43304,55,18.6,161,42.25,19.73,39.52,43.1,0,0,0,,,2418409518,Pacfic Gas and Electric Company,-121.8519,39.73898,2418409518,4614246002976,4614246002976,60837000816
76,4610000000000_84,0.19,0,100,0,0,27.92,1973,67148,82,16.02,645,56.56,19.73,45.84,21.55,0,0,0,,,2418410561,Pacfic Gas and Electric Company,-121.8362,39.74326,2418410561,4614246003008,4614246003008,60837000820
77,4610000000000_85,0.17,0,100,0,0,28.58,2019,39667,90,31.91,336,46.01,42.51,37.56,35.7,0,0,0,,,2418428292,Pacfic Gas and Electric Company,-121.8147,39.75962,2418428292,4614240430215,4614240430215,60837010469
78,4610000000000_86,0.17,0,100,0,0,28.86,1965,39667,71,46.62,336,56.11,52.82,42.86,20.4,0,0,0,,,2418429335,Pacfic Gas and Electric Company,-121.8146,39.76064,2418429335,4614240437558,4614240437558,60837000827
79,4610000000000_88,0.24,11.88,88.12,0,0,25.67,1953,97697,40,20.15,13,56.56,19.73,33.87,18,0,1,0,,,2418436636,Pacfic Gas and Electric Company,-121.8134,39.74185,2418436636,4614246003073,4614246003073,60837000825
80,4610000000000_89,0.18,0,100,0,0,28.82,1970,84485,100,23.89,1894.5,39.03,19.56,33.13,34,0,0,0,,,2418438722,Pacfic Gas and Electric Company,-121.8398,39.76116,2418438722,4614246003024,4614246003024,60837000822
81,9620000000000_90,0.22,0.32,16.96,13,69.73,27.79,1956,160438,10,18.09,205,29.48,18.13,24.19,18.95,1,0,0,,,2429025397,Pacfic Gas and Electric Company,-120.9657,38.70664,2429025397,9619786005714,9619786005714,63231004984
82,9620000000000_91,0.19,0,91.51,4.12,4.36,26.48,1981,115075,89,14.07,13,19.68,18.13,17.09,13.25,1,0,0,,,2429028526,Pacfic Gas and Electric Company,-121.0865,38.72099,2429028526,9619786103527,9619786103527,63231008948
83,9620000000000_92,0.19,0.32,81.36,3.24,15.07,27.79,1978,184936,49,21.13,278.5,34.49,18.13,20.54,15.05,0,0,0,Lighting- Interior Fixture Retrofit,Lighting,2429030612,Pacfic Gas and Electric Company,-121.008,38.69625,2429030612,9.61978e+12,9.61978e+12,63231004982
85,10600000000000_94,0.13,0,100,0,0,31.64,2012,45347,95,17.43,164,99.91,29.25,54.37,33.65,0,0,0,,,2455463536,Pacfic Gas and Electric Company,-119.7555,36.72628,2455463536,10621660119339,10621660119339,61455012411
86,17600000000000_95,0.17,0,81.88,0.32,17.81,29.22,1921,50958,64.5,13.19,278.5,69.99,20.46,35.75,27.85,0,0,0,Lighting- Interior Fixture Retrofit,Lighting,2470657642,Pacfic Gas and Electric Company,-122.8296,38.97421,2470657642,17640141734359,17640141734359,6.19e+10
87,17600000000000_96,0.18,0,40.06,7.29,52.64,28.72,1979,52250,79.5,19.99,241,69.99,20.46,35.75,30.2,0,0,0,Lighting- Interior Fixture Retrofit,Lighting,2470670158,Pacfic Gas and Electric Company,-122.8208,38.97386,2470670158,17640146010607,17640146010607,6.19e+10
88,23700000000000_98,0.21,0.4,39.38,5.09,55.13,28.97,1930,49375,100,13.73,205,62.7,36.2,21,14.05,1,0,0,Lighting- Interior Fixture Retrofit,Lighting,2522804595,Pacfic Gas and Electric Company,-123.256,39.79262,2522804595,23656072330033,23656072330033,63372010257
89,39700000000000_99,0.24,0,100,0,0,26.29,1952,171534,41.5,8.44,199,37.33,49.49,63.06,13.55,0,1,0,HVAC- Packaged/Split System AC/Heat Pump/VRF,HVAC,2526130329,Pacfic Gas and Electric Company,-121.0504,37.79896,2526130329,39685026041834,39685026041834,6.13e+10
90,1610000000000_100,0.11,0,100,0,0,27.86,2003,117917,97,6.5,98.5,80.37,19.56,37.46,24.35,0,0,0,,,2568760422,Pacfic Gas and Electric Company,-122.1504,37.67442,2568760422,1613090101212,1613090101212,63471011159
91,41700000000000_101,0.15,0,100,0,0,27.17,1923,138869,38.5,62.98,161,20.95,51.16,36.06,20.75,0,0,0,Lighting- Interior Fixture Retrofit,Lighting,2595719171,Pacfic Gas and Electric Company,-122.2395,37.48339,2595719171,41690624136693,41690624136693,63639006198
92,1610000000000_102,0.05,12.89,85.76,0,1.35,27.4,2003,34545,100,6,1523.5,87.03,19.56,38.8,19.7,0,0,0,,,2853412739,Pacfic Gas and Electric Company,-122.2582,37.79685,2853412739,1612590100701,1612590100701,62805011350
93,15700000000000_103,0.13,0,98.65,0,1.35,32.41,1998,39063,88,13.5,464,59.59,27.08,49.45,18.45,1,0,0,Lighting- Interior Fixture Retrofit,Lighting,2875427394,Pacfic Gas and Electric Company,-119.2321,35.67014,2875427394,15739086106306,15739086106306,62423008898
94,15600000000000_104,0.11,0,100,0,0,33.15,1985,28379,80,17.25,36,84.72,27.08,50.34,23.9,0,0,0,Building Envelope- Windows/Skylights,Building_Envelope,2887047833,Pacfic Gas and Electric Company,-118.9615,35.34565,2887047833,1.563529e+13,1.563529e+13,61954013499
95,9620000000000_105,0.16,0,76.97,4.94,18.09,27.96,2009,44803,69,16.79,16,45.48,18.13,33.85,17.1,0,0,0,Lighting- Interior Fixture Retrofit,Lighting,2887185563,Pacfic Gas and Electric Company,-120.8232,38.69466,2887185563,9.61853e+12,9.61853e+12,61207002961
96,9620000000000_106,0.19,0,74.26,5.6,20.14,27.17,1981,163333,73,44.21,16,21.27,18.13,17.67,10,0,0,0,,,2887200165,Pacfic Gas and Electric Company,-121.0707,38.67987,2887200165,9618530930081,9618530930081,61207007279
98,9620000000000_108,0.23,0,42.01,30.19,27.8,26.39,1999,62805,84,32.27,16,45.48,18.13,33.85,25.55,0,0,0,,,2887202251,Pacfic Gas and Electric Company,-120.8378,38.67651,2887202251,9618530930164,9618530930164,61207007957
100,9620000000000_110,0.22,0,79.52,15.56,4.92,26.59,2002,62841,55,14.28,16,49.36,18.13,34.49,33.1,0,0,0,,,2887204337,Pacfic Gas and Electric Company,-120.8127,38.73336,2887204337,9618530930222,9618530930222,61207010479
101,9620000000000_111,0.23,0.32,48.73,36.17,14.79,25.49,1963,160438,25,36.26,16,29.48,18.13,24.19,13.15,0,0,0,,,2887205380,Pacfic Gas and Electric Company,-120.9418,38.67256,2887205380,9618530936302,9618530936302,61207001344
102,1610000000000_112,0.07,0,100,0,0,28.52,1970,31292,49,24.59,1523.5,129.22,19.56,47.86,63.15,0,0,0,,,2939378408,Pacfic Gas and Electric Company,-122.2093,37.7738,2939378408,1612590125716,1612590125716,62805013062
103,1610000000000_113,0.08,0,100,0,0,28.84,2006,57601,49,9.17,1523.5,208.36,19.56,39.63,46.3,0,0,0,,,2939379451,Pacfic Gas and Electric Company,-122.1742,37.73721,2939379451,1612590112813,1612590112813,62805011977
104,1610000000000_114,0.09,0,100,0,0,27.99,2006,47938,70.5,16,1523.5,96.02,19.56,37.76,39.15,0,0,0,,,2939385709,Pacfic Gas and Electric Company,-122.218,37.78527,2939385709,1612590112763,1612590112763,62805011909
105,1610000000000_115,0.1,0,100,0,0,27.28,2005,66912,39,8.89,1523.5,129.22,19.56,34.8,25.95,0,0,0,,,2939393010,Pacfic Gas and Electric Company,-122.2243,37.79199,2939393010,1612590110247,1612590110247,62805011557
106,1610000000000_116,0.09,0,100,0,0,28.74,2006,58750,64,29.14,1523.5,226.34,19.56,30.02,48.2,0,0,0,,,2939401354,Pacfic Gas and Electric Company,-122.1653,37.74613,2939401354,1612590112771,1612590112771,62805012027
107,1610000000000_117,0.16,0,100,0,0,24.67,1935,250000,3,7.57,112.5,39.19,19.56,35.33,4.95,0,0,0,,,2939446203,Pacfic Gas and Electric Company,-122.2272,37.81107,2939446203,1612596001754,1612596001754,62805004253
108,1610000000000_118,0.09,0,100,0,0,28.77,2007,46098,79,9.22,1523.5,155.95,19.56,32.79,42.85,0,0,0,,,2939464977,Pacfic Gas and Electric Company,-122.1768,37.75921,2939464977,1612590115600,1612590115600,62805012059
109,1610000000000_119,0.13,0,100,0,0,25.82,1950,158750,10,16.57,20747,20.47,19.56,33.02,13.95,0,0,0,,,2939477493,Pacfic Gas and Electric Company,-122.2502,37.84641,2939477493,1612596057004,1612596057004,62805004250
110,1610000000000_120,0.17,0,98.88,1.02,0.1,24.17,1940,208906,6,14.9,1894.5,31.66,19.56,30.32,6.7,0,0,0,,,2939480622,Pacfic Gas and Electric Company,-122.2422,37.84994,2939480622,1612596001648,1612596001648,62805004239
111,44700000000000_121,0.15,16.81,77.82,0,5.36,24.35,2004,133482,89,14.76,1894.5,56.91,53.65,44.73,35.45,0,0,0,Lighting- Exterior Fixture Retrofit,Lighting,2955554168,Pacfic Gas and Electric Company,-121.7754,36.91258,2955554168,44697990102673,44697990102673,62949011461
112,6620000000000_122,0.15,0,100,0,0,29.67,2008,85290,90,8.05,1894.5,94.42,52.82,35.18,28.05,1,0,0,,,3043581573,Pacfic Gas and Electric Company,-122.1569,39.1557,3043581573,6616220118729,6616220118729,64254012298
114,57700000000000_124,0.19,0,98.69,0,1.31,29.93,2010,97778,78,9.91,42.5,52.82,64.45,49.08,30.7,1,0,0,Lighting- Exterior Fixture Retrofit,Lighting,3053867864,Pacfic Gas and Electric Company,-122.0249,38.69139,3053867864,57726866056311,57726866056311,6.13e+10
