,School_ID,NDVI_median,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,Land_Surface_Temp,Year_built,Median_income_BG,Percent_FRPM,Staff,Diversity_Index,Students_with_Disabilities,Asthma_Rates,COVID_infections,Pollution_Burden,Chronic_Absenteeism,retrofit,ndvi_median_binary,retrofit_and_ndvi,income,School_Type
1146,19757130000000_696,0.16,0,100,0,0,41.46,1971,72226,0,10,0.57,161,33.33,34.92,57.32,9.7,0,0,0,medium income,Control School
1147,19651300000000_1066,0.16,0,98.33,0,1.67,40.22,2010,85625,75,29.14,0.63,20747,45.04,34.92,68.14,55.85,0,0,0,medium income,Control School
1148,36750800000000_1190,0.16,0,21.04,0,78.96,43.15,1999,77969,39,39.25,0.47,42.5,98.07,34.44,16.16,40.95,0,0,0,medium income,Control School
1149,19648100000000_1206,0.16,0,100,0,0,40.27,2009,80147,68,23.79,0.63,241,57.34,34.92,50.33,28.8,0,0,0,medium income,Control School
1150,19648100000000_1207,0.16,0,98.01,0,1.28,40.27,1992,80147,68,23.79,0.63,241,57.34,34.92,50.33,28.8,0,0,0,medium income,Control School
1151,19646300000000_1533,0.16,0,100,0,0,38.53,1925,61763,49,12,0.47,1894.5,96.5,34.92,46.57,39.9,0,0,0,medium income,Control School
1152,19646300000000_1534,0.16,0,92.19,0,5.41,38.53,1925,61763,49,12,0.56,241,96.5,34.92,46.57,39.9,0,0,0,medium income,Control School
1153,19646300000000_1535,0.16,0,95.85,0,5.01,38.53,1925,61763,49,12,0.56,53.5,96.5,34.92,46.57,39.9,0,0,0,medium income,Control School
1154,19646300000000_1536,0.16,0,36.36,0,62.99,38.53,1925,61763,49,12,0.56,241,96.5,34.92,46.57,39.9,0,0,0,medium income,Control School
1155,30664600000000_1804,0.16,0,100,0,0,38.64,1944,64621,58,15.34,0.63,1894.5,46.72,22.48,59.81,29.3,0,0,0,medium income,Control School
1156,36678300000000_2005,0.16,0,97.19,0,2.81,41.03,2018,72200,85,3.59,0.57,241,67.1,34.44,25.15,67.15,0,0,0,medium income,Control School
1157,36678300000000_2006,0.16,0,100,0,0,41.09,2018,72200,85,3.59,0.47,241,67.1,34.44,25.15,90.55,0,0,0,medium income,Control School
1158,19650400000000_2939,0.16,0,100,0,0,39.49,1928,111453,88,17.81,0.63,1894.5,45.04,34.92,68.14,13.85,0,0,0,medium income,Control School
1159,19649800000000_3116,0.16,0,100,0,0,33.15,1938,76573,33,82.58,0.56,20747,32.98,34.92,51.92,18.55,0,0,0,medium income,Control School
1160,36750800000000_3364,0.16,0,36.2,0,63.8,40.84,1995,66897,39,13.55,0.47,205,98.07,34.44,16.16,38.95,0,0,0,medium income,Control School
1161,30103100000000_3630,0.16,0,100,0,0,37.6,2015,74583,83,14.65,0.63,278.5,41.49,22.48,54.14,32.5,0,0,0,medium income,Control School
1162,15636900000000_3771,0.16,0,94.44,0,5.56,41.16,2021,72277,58,72.33,0.58,241,35.39,27.08,41.89,24.95,0,0,0,medium income,Control School
1163,33670600000000_9,0.17,0,60.38,0,39.65,44.62,1980,66750,91,13.61,0.61,205,16.96,31.72,26.61,33.65,0,0,0,medium income,Control School
1164,36677800000000_241,0.17,0,19.49,0,80.51,43.83,1990,73158,84,2.37,0.57,42.5,54.19,34.44,22.08,67.15,0,0,0,medium income,Control School
1165,36677800000000_242,0.17,0,91.73,0,10.13,43.83,2018,73158,84,2.37,0.57,23,54.19,34.44,22.08,67.15,0,0,0,medium income,Control School
1166,33671700000000_389,0.17,0,94.1,0,5.9,43.58,1991,71645,96,55.91,0.63,205,27.64,31.72,19.08,25.9,0,0,0,medium income,Control School
1167,15636900000000_639,0.17,0,32.03,0.4,67.57,42.77,1954,72277,58,10,0.57,645,35.39,27.08,41.89,17.8,0,0,0,medium income,Control School
1168,19644510000000_781,0.17,0,100,0,0,40.2,2005,61250,0,72.33,0.47,142.5,46.57,34.92,57.03,23.9,0,0,0,medium income,Control School
1169,19644510000000_782,0.17,0,92.6,0,3.8,40.2,1992,61250,0,12.85,0.47,1894.5,46.57,34.92,57.03,23.9,0,0,0,medium income,Control School
1170,19734400000000_941,0.17,0,100,0,0,40.83,1884,96019,89,13.26,0.63,20747,79.8,34.92,66.09,33.5,0,0,0,medium income,Control School
1171,15636900000000_1393,0.17,0,75.64,0,24.36,42.35,1953,72277,58,9.01,0.63,16,35.39,27.08,41.89,11.9,0,0,0,medium income,Control School
1172,15636900000000_1394,0.17,0,54.14,0,45.86,43.21,1952,72277,58,9.01,0.63,183,35.39,27.08,41.89,11.9,0,0,0,medium income,Control School
1173,19646900000000_1793,0.17,0,95.04,0,0,38.33,2006,61763,90,26.81,0.63,241,61.84,34.92,64.38,20.4,0,0,0,medium income,Control School
1174,15737400000000_2093,0.17,0,96.42,0,3.58,41.66,2003,64013,51,20.28,0.57,42,70.82,27.08,38.72,9.45,0,0,0,medium income,Control School
1175,19102000000000_2192,0.17,0,100,0,0,38.73,1980,70391,100,18.01,0.63,125.5,47.51,34.92,63.18,40.35,0,0,0,medium income,Control School
1176,54720700000000_2256,0.17,0,100,0,0,40.45,1962,107637,0,46.59,0.57,653.5,61.64,28.45,44.85,6.45,0,0,0,medium income,Control School
1177,19648700000000_2767,0.17,0,100,0,0,38.28,2009,80114,6,18.44,0.47,1894.5,56.27,34.92,58.7,24.7,0,0,0,medium income,Control School
1178,19648700000000_2768,0.17,0,97.36,0,2.03,38.28,2009,80114,6,18.44,0.56,1894.5,56.27,34.92,58.7,24.7,0,0,0,medium income,Control School
1179,19646400000000_2794,0.17,0,36.96,0,63.04,40.92,1912,61250,88,12.1,0.63,1894.5,90.14,34.92,40.58,40.65,0,0,0,medium income,Control School
1180,36103600000000_3081,0.17,0,85.57,0.08,14.35,39.84,1867,95294,86,562.21,0.47,112.5,75.77,34.44,64.97,60,0,0,0,medium income,Control School
1181,30665200000000_3645,0.17,0,100,0,0,38.89,1995,66944,66,8.88,0.63,38.5,26.68,22.48,55.08,25.65,0,0,0,medium income,Control School
1182,30736500000000_3727,0.17,0,100,0,0,37.77,1978,67806,19,15.28,0.57,1894.5,20.8,22.48,65.43,13.7,0,0,0,medium income,Control School
1183,30665200000000_3825,0.17,0,99.18,0,0.82,37.7,1991,71167,66,15.28,0.57,241,56.43,22.48,55.15,27.95,0,0,0,medium income,Control School
1184,19646400000000_66,0.18,5.6,28.45,0,65.95,41.6,1984,95000,88,16.04,0.63,13,64.53,34.92,33.77,40.1,0,0,0,medium income,Control School
1185,19646400000000_67,0.18,0,94.44,0,6.79,41.72,1984,61450,88,16.04,0.63,220,64.53,34.92,33.77,40.1,0,0,0,medium income,Control School
1186,15636900000000_638,0.18,0,85.63,0,14.37,41.01,1954,72277,58,10,0.63,241,35.39,27.08,41.89,17.8,0,0,0,medium income,Control School
1187,19102000000000_945,0.18,0,100,0,0,39.86,2010,85625,100,19.51,0.63,42.5,87.73,34.92,49.03,8.6,0,0,0,medium income,Control School
1188,19102000000000_946,0.18,0,100,0,0,39.89,2010,85625,100,19.51,0.63,241,87.73,34.92,49.03,22.5,0,0,0,medium income,Control School
1189,19102000000000_947,0.18,0,100,0,0,39.86,2010,85625,100,19.51,0.63,241,87.73,34.92,49.03,33.4,0,0,0,medium income,Control School
1190,19102000000000_948,0.18,0,100,0,0,39.92,2010,85625,100,19.51,0.61,1523.5,87.73,34.92,49.03,23.95,0,0,0,medium income,Control School
1191,30665100000000_1070,0.18,0,100,0,0,39.11,1951,71731,27,26.56,0.56,20747,48.77,22.48,58.95,13.65,0,0,0,medium income,Control School
1192,19648100000000_2030,0.18,0,100,0,0,39.95,2000,65857,68,3.56,0.61,1894.5,56.92,34.92,55.51,40.9,0,0,0,medium income,Control School
1193,19648100000000_2031,0.18,0,95.91,0,2.72,39.95,2000,65857,68,3.56,0.63,241,56.92,34.92,55.51,40.9,0,0,0,medium income,Control School
1194,36677100000000_2494,0.18,0,96.11,0,3.89,39.47,1971,65441,82,20.9,0.63,15,41.79,34.44,67.55,32.9,0,0,0,medium income,Control School
1195,19642900000000_2682,0.18,8.9,91.1,0,0,39.16,2001,88875,89,48.05,0.63,504.5,66.81,34.92,69.14,55.85,0,0,0,medium income,Control School
1196,19642900000000_2683,0.18,12.5,87.5,0,0,39.16,2001,82708,89,48.05,0.63,15,66.81,34.92,69.14,15.55,0,0,0,medium income,Control School
1197,15636900000000_3770,0.18,0,82.88,0,17.12,43.14,2021,72277,58,50.01,0.63,13,35.39,27.08,41.89,11.85,0,0,0,medium income,Control School
1198,19647600000000_39,0.19,0,99.6,0,0.4,40.3,1952,66908,77,14.56,0.63,112.5,50.6,34.92,67.89,26.45,0,0,0,medium income,Control School
1199,19646400000000_97,0.19,0,67.89,0,32.11,41.81,1905,72200,88,18.59,0.63,13,64.53,34.92,33.77,34.6,0,0,0,medium income,Control School
1200,19648400000000_144,0.19,0,98.97,0,1.03,39.11,1967,93750,81,14.71,0.61,241,39.36,34.92,46.95,20.35,0,0,0,medium income,Control School
1201,19102000000000_147,0.19,0,100,0,0,40.27,2015,102031,100,17.74,0.63,241,52.82,34.92,49.42,36.55,0,0,0,medium income,Control School
1202,19644400000000_176,0.19,0,100,0,0,39.46,1949,65560,70,13.15,0.63,241,74.1,34.92,51.73,24.35,0,0,0,medium income,Control School
1203,19648100000000_197,0.19,2.24,97.36,0,0.4,40.28,1867,63500,68,15.15,0.61,142.5,54.25,34.92,78.21,5,0,0,0,medium income,Control School
1204,19102000000000_275,0.19,0,100,0,0,40.48,1994,67045,100,18.55,0.63,241,95.67,34.92,65.3,18.9,0,0,0,medium income,Control School
1205,30664600000000_295,0.19,0,100,0,0,38.6,1956,73583,58,15.17,0.63,20747,50.52,22.48,70.65,22.85,0,0,0,medium income,Control School
1206,30664600000000_296,0.19,0,98.77,0,0,38.6,1956,73583,58,15.17,0.61,199,50.52,22.48,70.65,22.85,0,0,0,medium income,Control School
1207,36750700000000_318,0.19,0,100,0,0,38.1,1927,64268,86,15.06,0.63,241,70.09,34.44,45.75,43,0,0,0,medium income,Control School
1208,19643900000000_429,0.19,0,70.94,0,29.06,37.28,2001,95972,19,14.77,0.57,578.5,52.86,34.44,50.57,8.9,0,0,0,medium income,Control School
1209,54722600000000_636,0.19,0,100,0,0,39.84,2003,74844,71,22.89,0.63,1894.5,46.89,28.45,70.44,18.8,0,0,0,medium income,Control School
1210,36676940000000_690,0.19,0,98.65,0,1.35,39.27,1950,64226,0,46.37,0.47,142.5,42.99,34.44,50.39,25.45,0,0,0,medium income,Control School
1211,36739570000000_693,0.19,0,42.79,0,57.21,40.17,1901,66612,0,23.62,0.47,1894.5,48.91,34.44,23.59,27.3,0,0,0,medium income,Control School
1212,19645500000000_697,0.19,0,100,0,0,40.42,1990,73214,72,10.43,0.61,278.5,35.94,34.92,46.47,13.35,0,0,0,medium income,Control School
1213,19645500000000_713,0.19,0,100,0,0,40.42,2003,73214,72,14.27,0.61,129,35.94,34.92,46.47,13.35,0,0,0,medium income,Control School
1214,36739570000000_727,0.19,0,34.29,0,64.94,40.17,1999,66612,0,46.59,0.47,241,48.91,34.44,23.59,27.3,0,0,0,medium income,Control School
1215,30665220000000_744,0.19,0,100,0,0,37.48,2009,79663,0,6,0.43,1894.5,26.48,22.48,38.35,14.75,0,0,0,medium income,Control School
1216,19753410000000_755,0.19,0,100,0,0,36.47,1957,112260,0,72.33,0.57,1894.5,29.39,34.92,43.7,8.45,0,0,0,medium income,Control School
1217,30666500000000_881,0.19,0,97.69,0,2.31,39.15,1968,111471,40,5.14,0.47,20747,27.23,22.48,53.18,84.25,0,0,0,medium income,Control School
1218,30666500000000_883,0.19,0,97.22,0,2.03,39.15,1968,111471,40,5.14,0.47,20747,27.23,22.48,53.18,84.25,0,0,0,medium income,Control School
1219,19646900000000_944,0.19,0,99.84,0,0.16,37.71,2002,85625,90,26.14,0.63,23,67.69,34.92,53.23,11.35,0,0,0,medium income,Control School
1220,19643000000000_1044,0.19,0,100,0,0,39.23,1944,70625,90,10.43,0.63,23,61.64,34.92,48.44,27.5,0,0,0,medium income,Control School
1221,19648700000000_1247,0.19,0,100,0,0,38.08,1958,64712,6,19.91,0.46,142.5,56.27,34.92,58.7,33.6,0,0,0,medium income,Control School
1222,36677100000000_1257,0.19,0,99.44,0,0.56,38.91,1993,100368,82,12.73,0.61,241,36.42,34.44,39.97,23.5,0,0,0,medium income,Control School
1223,19644400000000_1567,0.19,0,100,0,0,35.82,1994,64628,70,14.99,0.63,241,41.08,34.92,51.39,19.7,0,0,0,medium income,Control School
1224,19647700000000_1721,0.19,0,100,0,0,39.97,1949,72065,39,13.07,0.63,199,50.14,34.92,68.85,23.3,0,0,0,medium income,Control School
1225,19644400000000_1736,0.19,0,100,0,0,35.77,2000,96250,70,23.85,0.63,336,34.5,34.92,55.8,14.9,0,0,0,medium income,Control School
1226,36677100000000_1741,0.19,0,98.97,0,1.03,39.77,1997,78785,82,18.16,0.63,241,58.95,34.44,60.64,26.5,0,0,0,medium income,Control School
1227,36678800000000_1960,0.19,0,99.2,0,0.8,40.91,2001,64716,88,5.51,0.63,42,59.26,34.44,45.86,8.8,0,0,0,medium income,Control School
1228,36678300000000_1998,0.19,0,100,0,0,39.89,2018,75820,85,2.8,0.63,241,57.95,34.44,53.41,50.3,0,0,0,medium income,Control School
1229,36678300000000_1999,0.19,0,99.6,0,0,39.89,2018,95000,85,2.8,0.63,241,57.95,34.44,53.41,23.5,0,0,0,medium income,Control School
1230,19646300000000_2070,0.19,0,100,0,0,39.11,1958,68580,49,24.25,0.56,241,96.16,34.92,46.63,32.15,0,0,0,medium income,Control School
1231,19734400000000_2244,0.19,0,100,0,0,38.73,2007,61450,89,0.75,0.63,241,120.42,34.92,64.43,33.85,0,0,0,medium income,Control School
1232,19734400000000_2393,0.19,0,100,0,0,38.67,1954,61450,89,2.5,0.63,241,120.42,34.92,64.43,33.7,0,0,0,medium income,Control School
1233,54721400000000_2415,0.19,0,100,0,0,39.02,2010,71125,87,9.49,0.63,85.5,45.49,28.45,58.98,30.2,0,0,0,medium income,Control School
1234,19753400000000_2478,0.19,0,100,0,0,35.48,1954,102277,22,17.52,0.57,112.5,61.84,34.92,64.38,16.95,0,0,0,medium income,Control School
1235,30103100000000_2644,0.19,0,100,0,0,39.55,1998,97537,83,9.9,0.61,27.5,37.15,22.48,60.42,17,0,0,0,medium income,Control School
1236,33670600000000_2734,0.19,0,84.47,0,15.53,43.61,2018,79118,91,27.41,0.63,205,19.27,31.72,21.28,31.95,0,0,0,medium income,Control School
1237,56725400000000_2877,0.19,0,100,0,0,36.36,2000,97159,95,15.18,0.63,205,62.54,26.69,40.28,22.3,0,0,0,medium income,Control School
1238,33103300000000_2974,0.19,0.56,87.78,0,11.67,40.59,2006,85972,65,280.47,0.57,1894.5,37.94,31.72,36.62,22.35,0,0,0,medium income,Control School
1239,33103300000000_2986,0.19,0,94.59,0,5.41,43.54,1961,79118,65,221.59,0.47,1894.5,19.27,31.72,21.28,50.75,0,0,0,medium income,Control School
1240,56725400000000_3038,0.19,0,98.44,0,1.56,36.85,1998,84087,95,21.29,0.63,13,62.54,26.69,40.54,27.2,0,0,0,medium income,Control School
1241,19648100000000_3349,0.19,0,100,0,0,38.97,1993,76719,68,16.99,0.63,1894.5,49.52,34.92,62.12,16.65,0,0,0,medium income,Control School
1242,30666200000000_3379,0.19,0,100,0,0,40.14,1897,95833,10,17.32,0.57,112.5,37.78,22.48,52.63,22.5,0,0,0,medium income,Control School
1243,19651000000000_3575,0.19,0,67.58,0,32.42,43.09,2004,78438,60,24.36,0.58,1523.5,55.82,34.92,27.84,30.35,0,0,0,medium income,Control School
1244,19645500000000_3761,0.19,0,98.9,0,1.1,39.83,1992,83929,72,12.52,0.63,241,31.35,34.92,51.38,17.8,0,0,0,medium income,Control School
1245,19645500000000_3762,0.19,0,99.12,0,0,39.83,1956,83929,72,12.52,0.63,1894.5,31.35,34.92,51.38,17.8,0,0,0,medium income,Control School
1246,19646900000000_3772,0.19,0,98.97,0,1.03,38.96,1991,69028,90,22.08,0.63,241,67.69,34.92,49.9,18.35,0,0,0,medium income,Control School
1247,19646900000000_3773,0.19,0,100,0,0,38.96,2005,69028,90,22.08,0.63,13,67.69,34.92,49.9,18.35,0,0,0,medium income,Control School
1248,33671200000000_111,0.2,0,98.72,0,1.28,39.72,1965,80086,49,42.79,0.56,241,70.5,31.72,33.94,28.9,0,0,0,medium income,Control School
1249,30666000000000_572,0.2,0,99.71,0,0.29,37.47,1958,62993,23,63.53,0.47,1894.5,28.06,22.48,36.98,16.65,0,0,0,medium income,Control School
1250,19752900000000_625,0.2,0,100,0,0,39.83,1997,77500,44,4.04,0.63,271.5,31.51,34.92,56.45,34.5,0,0,0,medium income,Control School
1251,19651000000000_627,0.2,0,74.82,0,25.18,40.72,2006,74583,60,14.94,0.57,1523.5,57.76,34.92,24.17,27.6,0,0,0,medium income,Control School
1252,30664980000000_731,0.2,0.08,99.52,0,0.4,35.96,1959,64214,0,14.25,0.43,1894.5,31.49,22.48,46.08,12.7,0,0,0,medium income,Control School
1253,30664980000000_732,0.2,0,100,0,0,35.99,1971,64214,0,14.27,0.46,20747,31.49,22.48,46.08,12.7,0,0,0,medium income,Control School
1254,33670900000000_736,0.2,0,94.31,0,5.69,40.04,2000,85568,48,16.66,0.58,241,40.5,31.72,38.46,26.1,0,0,0,medium income,Control School
1255,33670330000000_741,0.2,0,75.06,0,24.94,40.16,2014,96250,53,15.58,0.63,199,28.81,31.72,54.65,15,0,0,0,medium income,Control School
1256,33670330000000_749,0.2,0,95.28,0,4.72,40.03,1901,96250,53,12.25,0.63,199,28.81,31.72,54.65,15,0,0,0,medium income,Control School
1257,19648100000000_858,0.2,0,100,0,0,41.28,1923,69563,68,20.07,0.63,241,66.24,34.92,44.48,10.65,0,0,0,medium income,Control School
1258,19645200000000_898,0.2,0,100,0,0,39.45,1901,97537,84,51.76,0.63,20747,48.95,34.92,73.84,15.2,0,0,0,medium income,Control School
1259,19102000000000_943,0.2,0.18,99.82,0,0,37.78,2010,67794,100,2.38,0.63,13,61.97,34.92,50.21,22.9,0,0,0,medium income,Control School
1260,19642100000000_998,0.2,0,100,0,0,38.02,2000,67305,71,16.93,0.63,129,41.48,34.92,50,23.05,0,0,0,medium income,Control School
1261,36677100000000_1016,0.2,0,86.85,0,13.15,38.65,1991,85972,82,89.32,0.63,55,37.96,34.44,49.26,27.85,0,0,0,medium income,Control School
1262,30665100000000_1071,0.2,0,100,0,0,39.16,1930,71731,27,26.56,0.57,112.5,48.77,22.48,58.95,13.65,0,0,0,medium income,Control School
1263,30667500000000_1473,0.2,0,100,0,0,37.74,1993,61420,55,14.83,0.57,23,45.09,22.48,37.81,12.6,0,0,0,medium income,Control School
1264,19650400000000_1637,0.2,0,99.73,0,0.27,39.08,1954,111453,88,13.12,0.63,20747,45.04,34.92,68.14,18.4,0,0,0,medium income,Control School
1265,19648400000000_1773,0.2,0,98.93,0,1.07,39.14,1877,64013,81,16.9,0.63,241,57.55,34.92,50.31,10.7,0,0,0,medium income,Control School
1266,19648100000000_2029,0.2,0,100,0,0,39.79,2000,65857,68,3.56,0.61,164,57.34,34.92,56.36,40.9,0,0,0,medium income,Control School
1267,19102000000000_2148,0.2,0,100,0,0,38.86,2007,96250,100,8.29,0.63,1894.5,40.76,34.92,63.11,43.3,0,0,0,medium income,Control School
1268,19648400000000_2261,0.2,0,100,0,0,39.28,2003,62120,81,6.88,0.63,23,39.36,34.92,46.95,40.1,0,0,0,medium income,Control School
1269,26736700000000_2386,0.2,21.37,23.16,2.09,53.38,32.15,1995,66736,54,46.95,0.47,1894.5,12.68,28.52,35.66,29.7,0,0,0,medium income,Control School
1270,33672500000000_2392,0.2,0,75.99,0,24.01,41.16,2007,80962,83,13.39,0.63,205,45.26,31.72,36.73,9.5,0,0,0,medium income,Control School
1271,30666200000000_2442,0.2,0,100,0,0,39.72,1993,64896,10,20.67,0.47,20747,25.83,22.48,51.69,17.6,0,0,0,medium income,Control School
1272,30666200000000_2569,0.2,0,98.57,0,0,39.72,1993,64896,10,10.69,0.47,20747,25.83,22.48,51.69,34.4,0,0,0,medium income,Control School
1273,19645900000000_2873,0.2,0,100,0,0,38.62,2016,95559,81,18.96,0.63,23,77.5,34.92,47.63,27.65,0,0,0,medium income,Control School
1274,19650000000000_2970,0.2,8.49,63.76,0,27.75,43.01,1967,65560,22,17.25,0.56,27.5,58.78,34.92,46.97,16.9,0,0,0,medium income,Control School
1275,33669900000000_3287,0.2,0,53.57,0,46.43,37.76,2018,64184,89,13.36,0.63,205,60.02,31.72,25.17,18.3,0,0,0,medium income,Control School
1276,19648100000000_3350,0.2,0,100,0,0,39.09,2017,76719,68,16.99,0.63,929,36.38,34.92,60.63,16.65,0,0,0,medium income,Control School
1277,19648100000000_3351,0.2,0,96.33,0,1.59,39.09,1990,76719,68,16.99,0.63,241,36.38,34.92,60.63,16.65,0,0,0,medium income,Control School
1278,19651000000000_3573,0.2,0,40.26,0,59.74,45.23,2003,78438,60,24.36,0.57,205,55.82,34.92,27.84,30.35,0,0,0,medium income,Control School
1279,19651000000000_3574,0.2,0,89.25,0,12.17,45.23,2006,78438,60,24.36,0.57,241,55.82,34.92,27.84,30.35,0,0,0,medium income,Control School
1280,30667500000000_3666,0.2,0,99.58,0,0.42,37.42,1991,79722,55,15.9,0.63,241,39.89,22.48,40.49,8.95,0,0,0,medium income,Control School
1281,19642100000000_304,0.21,0,100,0,0,37.45,1916,95774,71,11.21,0.63,241,30.97,34.92,48.25,13.6,0,0,0,medium income,Control School
1282,19734400000000_554,0.21,0,68.45,0,31.25,40.35,1988,63333,89,9.47,0.63,241,110.96,34.92,59.96,42.95,0,0,0,medium income,Control School
1283,19642900000000_622,0.21,0,96.2,0,3.8,39.1,1957,81550,89,25.54,0.63,161,66.81,34.92,69.14,26.6,0,0,0,medium income,Control School
1284,33671240000000_695,0.21,0,91.8,0,8.2,40.17,2002,76028,0,18.85,0.43,241,51.87,31.72,23.38,27.2,0,0,0,medium income,Control School
1285,30665220000000_702,0.21,6.54,69.47,0,22.96,37.58,1951,93269,0,27.97,0.43,161,26.48,22.48,38.35,14.75,0,0,0,medium income,Control School
1286,19734450000000_717,0.21,0,100,0,0,38.2,1963,64214,0,18.09,0.47,20747,46.16,34.92,68.28,21.05,0,0,0,medium income,Control School
1287,56725400000000_832,0.21,0,100,0,0,35.54,1946,69063,95,31.56,0.63,241,60.34,26.69,43.1,20.95,0,0,0,medium income,Control School
1288,30665200000000_837,0.21,0,99.84,0,0.16,37.66,1965,63764,66,13.75,0.63,645,34.53,22.48,49.99,18.3,0,0,0,medium income,Control School
1289,30665200000000_838,0.21,0,100,0,0,37.78,1991,63764,66,13.75,0.61,241,34.53,22.48,49.99,18.3,0,0,0,medium income,Control School
1290,30665200000000_839,0.21,0,100,0,0,37.66,1994,63764,66,13.75,0.61,241,34.53,22.48,49.99,18.3,0,0,0,medium income,Control School
1291,30665200000000_840,0.21,0,100,0,0,37.66,2007,63764,66,13.75,0.61,42,34.53,22.48,49.99,18.3,0,0,0,medium income,Control School
1292,30665200000000_841,0.21,0,95.12,0,5.14,37.66,2005,63764,66,13.75,0.61,241,34.53,22.48,49.99,18.3,0,0,0,medium income,Control School
1293,19645200000000_1005,0.21,0,99.82,0,0.18,38.92,2001,65699,84,18.33,0.63,1894.5,63.91,34.92,60.34,55.35,0,0,0,medium income,Control School
1294,19648100000000_1061,0.21,0,100,0,0,40.3,2004,87736,68,12.38,0.61,85.5,46.51,34.92,58.79,29.1,0,0,0,medium income,Control School
1295,19648100000000_1063,0.21,0,100,0,0,40.61,2005,74659,68,12.38,0.63,1894.5,46.51,34.92,58.79,29.1,0,0,0,medium income,Control School
1296,56725400000000_1239,0.21,0,100,0,0,35.98,2007,95559,95,19.48,0.63,1894.5,42.04,26.69,56.6,20,0,0,0,medium income,Control School
1297,36677100000000_1242,0.21,0,100,0,0,39.78,1996,79602,82,29.31,0.63,1523.5,62.8,34.44,41.67,23.2,0,0,0,medium income,Control School
1298,30665100000000_1266,0.21,0,100,0,0,40.03,2002,82266,27,9.42,0.63,271.5,32.63,22.48,58.69,6.45,0,0,0,medium income,Control School
1299,30665100000000_1267,0.21,0,76.57,0,23.45,40.03,1999,82266,27,9.42,0.63,271.5,32.63,22.48,58.69,6.45,0,0,0,medium income,Control School
1300,30665100000000_1268,0.21,0,99.52,0,0,40.03,2010,82266,27,9.42,0.57,1894.5,32.63,22.48,58.69,6.45,0,0,0,medium income,Control School
1301,30665100000000_1269,0.21,0,89.61,0,8.17,40.03,1948,82266,27,9.42,0.61,1894.5,32.63,22.48,58.69,6.45,0,0,0,medium income,Control School
1302,30665100000000_1270,0.21,0,99.12,0,0,40.03,1962,82266,27,9.42,0.61,653.5,32.63,22.48,58.69,6.45,0,0,0,medium income,Control School
1303,54722600000000_1339,0.21,0,98.94,0,1.06,41.96,1992,86798,71,9.75,0.63,112.5,46.02,28.45,61.75,22.95,0,0,0,medium income,Control School
1304,19648700000000_1461,0.21,0,100,0,0,38.11,2000,76110,6,16.84,0.47,142.5,49.73,34.92,56.42,30.55,0,0,0,medium income,Control School
1305,19648400000000_1482,0.21,0,96.77,0,3.23,39.03,2015,67404,81,10.89,0.63,241,47.46,34.92,52.34,20.2,0,0,0,medium income,Control School
1306,36678800000000_1803,0.21,0,98.56,0,1.44,40.72,1954,62083,88,13.35,0.63,241,97.86,34.44,57.58,26.35,0,0,0,medium income,Control School
1307,19647700000000_1852,0.21,0,100,0,0,38.65,2005,68701,39,51.71,0.61,15,67.6,34.92,67.58,16.8,0,0,0,medium income,Control School
1308,19757100000000_1857,0.21,0,100,0,0,40.21,1961,74917,59,15.9,0.63,1894.5,33.33,34.92,57.32,12.45,0,0,0,medium income,Control School
1309,33672300000000_1953,0.21,0,49.85,0,50.15,39.78,2007,79239,71,20.18,0.63,13,40.53,31.72,33.33,18.4,0,0,0,medium income,Control School
1310,19648100000000_2032,0.21,0,99.35,0,0.65,40.23,1959,65875,68,13.47,0.63,241,60.59,34.92,50.87,15,0,0,0,medium income,Control School
1311,19648100000000_2046,0.21,0,100,0,0,40.74,1928,65739,68,22.2,0.63,53.5,67.47,34.92,53.17,21.4,0,0,0,medium income,Control School
1312,19648100000000_2047,0.21,0,99.04,0,0,40.74,1960,65739,68,22.2,0.63,241,67.47,34.92,53.17,21.4,0,0,0,medium income,Control School
1313,33671200000000_2065,0.21,0,100,0,0,40.11,1952,72935,49,71.21,0.47,83,51.87,31.72,23.38,25.4,0,0,0,medium income,Control School
1314,30664800000000_2293,0.21,0,100,0,0,38.55,1997,88182,43,55.5,0.58,199,34.09,22.48,45.37,28.25,0,0,0,medium income,Control School
1315,36745200000000_2294,0.21,0,96.35,0,3.65,38.84,1994,93897,0,50.03,0.47,112.5,33.04,34.44,49.43,15.1,0,0,0,medium income,Control School
1316,19753300000000_2469,0.21,0,100,0,0,35.09,2004,69327,3,12.28,0.47,1894.5,12.41,34.92,41.84,9.65,0,0,0,medium income,Control School
1317,33672000000000_2509,0.21,0,94.44,0,5.56,41.59,1990,75625,69,8.13,0.63,83,54.1,31.72,59.35,10.8,0,0,0,medium income,Control School
1318,19648100000000_2519,0.21,0,96.88,0,3.12,39.77,1962,89427,68,10.2,0.63,164,57.34,34.92,60.18,22.85,0,0,0,medium income,Control School
1319,19752900000000_2685,0.21,0,98,0,2,39.16,1997,64444,44,9.22,0.63,16,28.17,34.92,52.16,8.45,0,0,0,medium income,Control School
1320,19752900000000_2686,0.21,0,100,0,0,39.36,1997,64444,44,9.22,0.58,1894.5,28.17,34.92,52.16,9.6,0,0,0,medium income,Control School
