,School_ID,NDVI_median,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,Land_Surface_Temp,Year_built,Median_income_BG,Percent_FRPM,Staff,Diversity_Index,Students_with_Disabilities,Asthma_Rates,COVID_infections,Pollution_Burden,Chronic_Absenteeism,retrofit,ndvi_median_binary,retrofit_and_ndvi,income,School_Type
38,1610000000000_117,0.16,0,100,0,0,24.67,1935,250000,23,7.57,0.63,53.5,39.19,19.56,35.33,4.95,0,0,0,high income,Control School
39,1610000000000_119,0.13,0,100,0,0,25.82,1950,158750,19,16.57,0.57,241,20.47,19.56,33.02,13.95,0,0,0,high income,Control School
40,1610000000000_120,0.17,0,98.88,1.02,0.1,24.17,1940,208906,6,14.9,0.47,161,31.66,19.56,30.32,6.7,0,0,0,high income,Control School
41,44700000000000_121,0.15,16.81,77.82,0,5.36,24.35,2004,133482,89,14.76,0.63,241,56.91,53.65,44.73,35.45,0,0,0,high income,Control School
42,43700000000000_130,0.11,0,99.2,0,0.8,28.74,1975,129904,31,23.58,0.63,464,32.76,52.82,25.85,16.35,0,0,0,high income,Control School
43,43700000000000_131,0.13,0,99.84,0,0.16,29.07,1962,142162,9,9.93,0.61,13,16.56,52.82,21.23,4.65,0,0,0,high income,Control School
44,43700000000000_132,0.13,0,100,0,0,28.83,1957,236324,33,9.64,0.61,55,11.12,52.82,28.54,12.75,0,0,0,high income,Control School
45,43700000000000_133,0.16,0,100,0,0,27.21,1957,213906,2.5,14.49,0.63,241,8.54,52.82,33.59,2.5,0,0,0,high income,Control School
46,43700000000000_134,0.13,0,97.04,0,2.96,29.58,1957,175385,7,15.5,0.63,241,13.09,52.82,32.31,2.5,0,0,0,high income,Control School
47,1750000000000_135,0.12,0,97.97,0,1.76,28.2,2005,250000,14,20.2,0.63,241,32.04,19.56,30.77,2.1,0,0,0,high income,Control School
48,7620000000000_136,0.12,0,99.19,0,0.81,29.67,2007,129760,0,19.81,0.46,241,76.81,21.42,33.06,16.75,0,0,0,high income,Control School
49,28700000000000_141,0.15,0,100,0,0,29.33,2017,133214,85.5,7.11,0.63,42.5,37.4,40.35,38.37,33.5,0,0,0,high income,Control School
50,43700000000000_154,0.14,0,100,0,0,28.13,1992,138295,60,28.53,0.63,220,29.98,52.82,38.78,18.9,0,0,0,high income,Control School
51,43700000000000_155,0.14,0,100,0,0,27.92,1930,177639,37,9.94,0.63,42.5,28.01,52.82,28.94,11.6,0,0,0,high income,Control School
52,43700000000000_156,0.16,0,100,0,0,27.39,2019,235893,25.5,13.79,0.63,241,35.85,52.82,43.97,22.05,0,0,0,high income,Control School
53,43700000000000_158,0.12,0,100,0,0,28.55,1930,170405,50.5,24.94,0.63,148.5,40.86,52.82,35.55,22.95,0,0,0,high income,Control School
54,43700000000000_159,0.15,0,100,0,0,27.45,1931,245125,52.5,21.14,0.63,112.5,30.76,52.82,41.22,22.3,0,0,0,high income,Control School
55,43700000000000_160,0.15,0,100,0,0,27.83,2001,250000,8,9.23,0.63,241,27.07,52.82,29.85,6.15,0,0,0,high income,Control School
56,43700000000000_161,0.09,0,100,0,0,29.17,1930,133676,65,10.44,0.63,271.5,64.26,52.82,55.88,28.85,0,0,0,high income,Control School
57,40700000000000_168,0.08,0.2,96.2,0,3.6,23.34,1960,158672,41.5,31.42,0.61,241,39.13,50.32,35.9,18.8,0,0,0,high income,Control School
58,40700000000000_170,0.2,0.57,73.75,0,25.68,28.36,1958,146038,20.5,9.57,0.61,27.5,37.22,50.32,51.04,12.35,0,0,0,high income,Control School
59,28700000000000_171,0.14,0,89.33,0,10.67,27.42,2005,181607,44,11.9,0.63,205,71,40.35,24.53,16.45,0,0,0,high income,Control School
60,10600000000000_172,0.13,0,94.7,0,5.3,28.92,2007,143409,24.5,13.02,0.57,241,28.15,29.25,34.23,9.8,0,0,0,high income,Control School
61,28700000000000_173,0.19,0,73.41,1.67,24.92,28.55,2018,121950,79.5,17.61,0.47,1894.5,42.13,40.35,46.07,30.65,0,0,0,high income,Control School
62,28700000000000_175,0.21,0,63.04,1.83,35.13,27.58,1950,135000,69.5,16.88,0.56,1894.5,32.58,40.35,39.87,21.35,0,0,0,high income,Control School
63,43700000000000_178,0.12,0,98.57,0,1.43,29.28,1965,249519,7,7.98,0.63,164,10.91,52.82,36.75,5,0,0,0,high income,Control School
64,1610000000000_190,0.11,0,100,0,0,27.62,1995,167778,10,19.23,0.47,161,60.43,19.56,40.52,32.45,0,0,0,high income,Control School
65,1610000000000_192,0.12,0,100,0,0,27.61,1955,117917,67,36.4,0.56,98.5,60.43,19.56,40.52,27.25,0,0,0,high income,Control School
66,10600000000000_193,0.17,0,100,0.16,0,29.52,1957,117370,48,14.2,0.63,653.5,71.87,29.25,56.21,17.1,0,0,0,high income,Control School
67,43700000000000_197,0.12,0,100,0,0,28.86,2019,250000,21,9.36,0.61,23,13.01,52.82,27.74,7.45,0,0,0,high income,Control School
68,1610000000000_201,0.12,0,100,0,0,29.05,1960,179125,40,10.64,0.63,23,66.86,19.56,29.21,12.85,0,0,0,high income,Control School
69,1610000000000_202,0.12,0,91.98,0,8.35,29.05,1960,179125,40,10.64,0.63,220,66.86,19.56,29.21,12.85,0,0,0,high income,Control School
70,1610000000000_203,0.12,0,100,0,0,28.85,1960,136000,0,8.83,0.47,38.5,66.86,19.56,29.21,0,0,0,0,high income,Control School
71,1610000000000_204,0.11,0,100,0,0,28.68,1961,146353,0,8.34,0.56,1894.5,66.44,19.56,46.69,6.9,0,0,0,high income,Control School
72,1610000000000_205,0.11,0.48,99.52,0,0,28.76,1959,204202,8,7.24,0.58,241,58.08,19.56,25.56,7.7,0,0,0,high income,Control School
73,1610000000000_206,0.12,0,100,0,0,28.95,1962,179125,58,18.49,0.63,1523.5,66.86,19.56,29.21,4.4,0,0,0,high income,Control School
74,43700000000000_212,0.12,0,100,0,0,28.89,1963,185795,8.5,15.67,0.61,16,13.01,52.82,33.17,6.7,0,0,0,high income,Control School
75,15600000000000_215,0.12,0,100,0,0,32.66,2008,121750,58.5,59.15,0.63,23,49.73,27.08,40.16,15.5,0,0,0,high income,Control School
76,43700000000000_216,0.11,0,100,0,0,28.66,1959,160779,43.5,12.99,0.63,1523.5,29.3,52.82,39.16,12.85,1,0,0,high income,Prop. 39 School
77,41700000000000_217,0.19,0,100,0,0,24.77,1953,179722,63.5,8.73,0.61,241,21.78,51.16,33.39,26,0,0,0,high income,Control School
78,41700000000000_218,0.14,0,99.84,0,0.16,27.1,1940,150685,31.5,11.28,0.63,85.5,31.27,51.16,47.52,12.45,0,0,0,high income,Control School
79,41700000000000_220,0.16,0,75.97,10.42,13.6,25.46,1968,179000,18.5,8.3,0.47,241,27.33,51.16,24.64,10.35,0,0,0,high income,Control School
80,41700000000000_221,0.15,0,98.41,1.43,0.16,26.76,1954,229625,41,15.1,0.61,241,42.33,51.16,26.38,16.3,0,0,0,high income,Control School
81,41700000000000_224,0.2,3.67,78.12,4.63,13.58,20.84,1929,228106,21,6.27,0.47,1894.5,38.38,51.16,28.04,9.15,0,0,0,high income,Control School
82,41700000000000_225,0.06,4.7,95.3,0,0,26.9,1955,141157,0,20.29,0.58,27.5,19.18,51.16,42.51,12.85,0,0,0,high income,Control School
83,41700000000000_226,0.19,0.32,88.48,10.64,0.56,24.41,1954,136406,6,14.22,0.47,241,21.73,51.16,16.17,44.2,0,0,0,high income,Control School
84,41700000000000_227,0.09,11.17,88.83,0,0,26.68,1994,158958,8,8.67,0.56,241,19.18,51.16,31.41,5.85,0,0,0,high income,Control School
85,41700000000000_228,0.08,12.96,84.86,0,2.18,25.41,1859,150556,7,11.41,0.57,336,19.18,51.16,20.34,5.5,0,0,0,high income,Control School
86,27700000000000_233,0.21,36.2,24.37,0.2,39.23,22.58,1978,117748,81.5,52.18,0.46,199,59.6,39.52,41.36,37.6,0,0,0,high income,Control School
87,1750000000000_239,0.14,0,98.56,0,1.44,28.77,2014,117120,5,14.05,0.47,85.5,26.01,19.56,39.39,6.65,0,0,0,high income,Control School
88,1750000000000_240,0.14,0,98.2,0,1.8,28.58,1966,130729,19,12.29,0.57,929,26.01,19.56,39.39,13.05,0,0,0,high income,Control School
89,1750000000000_241,0.14,0,96.12,0,3.88,28.61,1961,150444,24,16.81,0.57,85.5,26.01,19.56,39.39,7.25,0,0,0,high income,Control School
90,1750000000000_242,0.11,0,100,0,0,29.42,1968,125750,80,6.86,0.57,85.5,27.93,19.56,38.43,67.65,0,0,0,high income,Control School
91,10600000000000_251,0.16,0,100,0,0,28.15,1991,151250,41,45.46,0.56,241,25.47,29.25,37.15,12.1,1,0,0,high income,Prop. 39 School
92,7620000000000_254,0.11,0.09,98.52,0,1.39,29.47,1959,146619,21,14.08,0.56,1894.5,77.78,21.42,37.9,21.1,0,0,0,high income,Control School
93,41700000000000_264,0.1,13.62,86.38,0,0,27.16,2012,250000,7,13.33,0.63,645,38.89,51.16,46.54,10.25,0,0,0,high income,Control School
94,43700000000000_268,0.12,0,100,0,0,29.04,2005,237083,6.5,20.92,0.63,36,9.86,52.82,42.23,3.1,0,0,0,high income,Control School
95,20700000000000_276,0.16,0,99.9,0,0.1,30.64,1909,128635,87.5,23.63,0.56,1523.5,71.3,51.99,48.29,38.1,1,0,0,high income,Prop. 39 School
96,24700000000000_289,0.09,0,100,0,0,28.8,2003,133846,89.5,15.48,0.63,205,32.86,19.56,32.6,15.1,1,0,0,high income,Prop. 39 School
97,1610000000000_295,0.13,0,100,0,0,27.2,1955,163500,65,19.34,0.61,241,76.51,19.56,37.12,19.45,0,0,0,high income,Control School
98,1610000000000_296,0.13,0,100,0,0,27.29,1956,146250,65,9.87,0.63,241,76.2,19.56,35.82,18.4,0,0,0,high income,Control School
99,1610000000000_299,0.11,0,100,0,0,28.3,1949,152976,19,73.29,0.47,241,83.51,19.56,42.51,23.3,1,0,0,high income,Prop. 39 School
100,1610000000000_300,0.11,0,94.44,0,1.27,28.3,1949,152976,67.5,73.29,0.56,42.5,83.51,19.56,42.51,23.3,1,0,0,high income,Prop. 39 School
101,1610000000000_301,0.11,0,98.4,0,0,28.3,1949,152976,6,73.29,0.43,241,83.51,19.56,42.51,23.3,1,0,0,high income,Prop. 39 School
102,43700000000000_303,0.15,0,98.57,0,1.43,28.33,1923,211860,9,7.04,0.63,241,10.29,52.82,24.46,5.7,0,0,0,high income,Control School
103,10600000000000_306,0.17,0,83.33,0,16.67,29.52,1957,117370,6,13.65,0.57,1894.5,71.87,29.25,56.21,17.1,0,0,0,high income,Control School
