"","NDVI_median","Percent_Water","Percent_Developed","Percent_Forest","Percent_Pasture","Land_Surface_Temp","Year_built","Median_income_BG","Percent_FRPM","Staff","Students_with_Disabilities","Asthma_Rates","COVID_infections","Pollution_Burden","Chronic_Absenteeism","retrofit","ndvi_median_binary","retrofit_and_ndvi"
"19646600000000_1569",0.45,0,58.43,0.72,40.85,34.72,1999,240139,5,64.83,20747,17.21,34.92,55.74,4.3,1,1,1
"19646600000000_1570",0.45,0,52.38,0,1.12,34.72,1978,240139,5,64.83,20747,17.21,34.92,55.74,4.3,1,1,1
"19646600000000_1572",0.45,0,100,3.03,0,34.72,1948,240139,5,64.83,20747,17.21,34.92,55.74,4.3,1,1,1
"56725500000000_2958",0.45,1.91,70.78,0,27.32,34.16,1931,108417,25,47.82,271.5,44.99,26.69,50.1,20.45,1,1,1
"56725500000000_2959",0.45,0,6.13,2.38,7.81,34.16,2004,101750,25,47.82,645,44.99,26.69,50.1,20.45,1,1,1
"30665600000000_3442",0.45,0,16.51,0,83.49,30.6,1963,139079,19,20.35,16,26.73,22.48,31.36,10.45,1,1,1
"33752000000000_2222",0.46,0,20.27,4.63,75.1,34.22,2019,126827,40,12.46,1894.5,35.71,31.72,49.47,4.7,1,1,1
"19646600000000_2731",0.5,0,85.45,5.64,8.9,31.53,1957,240139,5,26.27,161,17.27,34.92,35.4,4.3,1,1,1
"19646600000000_2732",0.5,0.17,38.23,56.01,76.41,31.53,1980,129736,5,26.27,205,17.27,34.92,35.4,4.3,1,1,1
"54720200000000_2640",0.51,0,100,0,0,33.91,1958,74107,74,29.1,27.5,61.81,28.45,56.65,10.1,1,1,1
"14633100000000_3051",0.52,6.98,85.29,0,7.73,30.09,2004,69327,53,2.69,27.5,52.64,38.28,45.9,18.1,1,1,1
"26736900000000_3195",0.57,0.56,14.92,64.52,20,21.54,1991,97431,47,7.04,13,47.37,28.52,26.26,46.9,1,1,1
"48700000000000_21",0.17,0.81,100,0,2.18,29.64,1964,101750,31,31.57,112.5,14.99,56.97,38.83,15.45,0,0,0
"40800000000000_42",0.14,0,81.75,0,0,30.2,1980,101886,49,40.5,205,46.01,50.32,30.01,22.6,1,0,0
"40800000000000_43",0.14,0,77.67,0,10.37,30.2,1980,101886,49,40.5,205,46.01,50.32,30.01,22.6,1,0,0
"40800000000000_44",0.15,0,83.19,0,52.79,30.2,1958,101886,48,19.13,205,46.01,50.32,30.01,18.55,1,0,0
