"","NDVI_median","Percent_Water","Percent_Developed","Percent_Forest","Percent_Pasture","Land_Surface_Temp","Year_built","Median_income_BG","Percent_FRPM","Staff","Students_with_Disabilities","Asthma_Rates","COVID_infections","Pollution_Burden","Chronic_Absenteeism","retrofit","ndvi_median_binary","retrofit_and_ndvi"
"27800000000000_1",0.13,0,99.64,0,0.36,26.74,1997,73614,70,59.75,42.5,49.82,39.52,45.09,22.75,1,0,0
"27800000000000_2",0.13,0,100,0,0,26.83,2005,69531,89.5,13.25,14.5,49.82,39.52,45.09,19,1,0,0
"1610000000000_3",0.16,0,35.48,0,64.52,31.64,1963,74788,19,5.14,241,30.08,19.56,36.19,13.8,0,0,0
"42700000000000_4",0.16,0,87.3,1.37,11.33,29.92,1938,78030,37,26.01,1523.5,37.27,51.99,28.63,9.25,1,0,0
"42700000000000_5",0.14,0,73.28,3.88,22.84,29.83,1938,78030,49,35.28,205,37.27,51.99,28.63,9.25,1,0,0
"42700000000000_6",0.14,0,89.25,0,0,29.83,1938,78030,91,14.94,14.5,37.27,51.99,28.63,9.25,1,0,0
"42700000000000_7",0.14,0,85.53,1.89,12.58,29.89,1938,78030,37,26.01,32.5,37.27,51.99,28.63,9.25,1,0,0
"42700000000000_8",0.14,18.23,58.42,0,14.79,29.83,1938,78030,60,32.5,32.5,37.27,51.99,28.63,9.25,1,0,0
"42700000000000_9",0.14,0,40.06,0,12.55,29.83,1938,78030,76,9.94,14.5,37.27,51.99,28.63,9.25,1,0,0
"52700000000000_10",0.18,0,46.37,0,53.63,28.71,1997,44479,84,14.29,1523.5,69.27,60.29,43.68,32.45,1,0,0
"9620000000000_11",0.18,0.64,21.48,2.23,75.66,28.11,2002,184936,22,17.37,205,18.58,18.13,20.24,18,1,0,0
"31700000000000_12",0.22,0,51.07,9.91,39.02,26.83,1963,97604,20,5.61,38.5,23.87,42.85,30.44,18.55,0,0,0
"10600000000000_13",0.11,0,100,0,0,31.49,2007,23466,98.5,14.05,145,70.53,29.25,44.05,39.3,0,0,0
"45700000000000_14",0.22,2.94,24.09,8.66,64.31,26.96,2016,95625,82,12.76,205,27.09,54.48,15.92,46.75,1,0,0
"15600000000000_15",0.11,0.48,99.52,0,0,33.15,2011,28379,93,17.38,1894.5,84.72,27.08,50.34,66.15,0,0,0
"43700000000000_16",0.12,0,98.64,0,1.36,28.48,1975,148385,50.5,10.51,16,46.54,52.82,27.14,14.1,0,0,0
"7620000000000_17",0.2,0,77.7,2.86,19.44,27.39,1940,180781,58,29.7,91,21.04,21.42,32,9.65,0,0,0
"29700000000000_18",0.25,0.96,19.9,44.9,34.24,25.2,2004,63958,95,20.15,205,54.74,41.19,29.64,15,1,1,1
"29700000000000_19",0.23,0.4,53.07,20.51,26.02,26.23,2017,139143,44.5,5.11,13,22.31,34.92,30.01,23.35,1,0,0
"29700000000000_20",0.23,1.71,56.64,0,0.16,26.23,2010,139143,44.5,5.11,241,23.8,34.92,37.43,18.9,1,0,0
"51700000000000_22",0.18,6.54,91.92,0,1.54,28.26,2005,81429,100,20.38,653.5,27.29,59.46,44.3,16.7,0,0,0
"31800000000000_23",0.14,0,99.92,0,0.08,28.83,1952,78036,30.5,13.28,199,47.46,42.85,38.96,11.55,0,0,0
"58100000000000_24",0.12,5.83,94.17,0,0,28.35,2007,89485,62,5.82,91,50.32,65.28,47.52,52.6,0,0,0
"27700000000000_25",0.12,0,99.19,0,0.81,25.9,2000,60875,95,17.74,241,61.88,39.52,37.44,19.05,0,0,0
"16700000000000_26",0.1,0,73.91,0,26.09,34.95,1992,59024,71,27.24,1523.5,45.07,42.51,20.5,25.95,1,0,0
"31800000000000_27",0.18,0.88,83.23,2.96,12.94,26.58,1992,142738,15,49.86,1894.5,25.19,42.85,19.65,13.95,0,0,0
"42700000000000_28",0.17,0,41.78,0,58.22,28.67,1961,67130,89,13.38,241,41.05,51.99,33.96,20.65,0,0,0
"42700000000000_29",0.19,0,52.22,21.43,26.35,26.92,1966,98429,35.5,32.13,98.5,44.75,51.99,31.91,22.2,0,0,0
"31800000000000_30",0.2,1.74,79.41,0.73,18.12,26.92,2001,155804,8,12.9,241,25.53,42.85,11.84,7.05,0,0,0
"1750000000000_31",0.12,0,94.99,0,5.01,28.2,2005,250000,6,20.2,85.5,32.04,19.56,30.77,2.1,0,0,0
"31800000000000_32",0.14,0.26,80.99,11.33,7.42,28.64,1952,78036,65,14.58,221,47.46,42.85,38.96,13.1,0,0,0
"1610000000000_33",0.14,0,97.37,0,2.63,29.86,1960,157500,80,17.42,205,31.1,19.56,24.21,7.35,1,0,0
"54700000000000_34",0.17,0,88.8,0,11.2,29.39,1953,52688,95,28.38,205,57.95,61.96,55.28,19.45,1,0,0
"57700000000000_35",0.19,0,100,0,0,28.11,1912,78750,59.5,16.75,42.5,51.44,64.45,45.88,17.55,0,0,0
"1750000000000_36",0.15,0,97.64,0,2.36,28.17,2007,246548,10,14.04,1894.5,32.04,19.56,30.77,4.65,0,0,0
"7620000000000_37",0.2,0.48,64.06,11.95,23.51,27.08,1962,159167,6,24.29,205,16.2,21.42,36.96,6.25,1,0,0
"39700000000000_38",0.14,0,100,0,0,30.77,1921,30978,88.5,13.41,15,98.75,49.49,58.55,41.4,0,0,0
"10600000000000_39",0.17,0,100,0,0,29.52,1957,117370,66,18.35,645,71.87,29.25,56.21,17.1,0,0,0
"43700000000000_40",0.13,0,100,0,0,29.08,1963,176750,6.5,15.42,161,9.84,52.82,41.31,2.15,0,0,0
"27800000000000_41",0.12,0,100,0,0,25.68,2019,54607,98,9.68,83,49.82,39.52,45.09,29.7,0,0,0
"40800000000000_45",0.13,0,95.7,1.51,2.79,31.36,2003,87344,59,14.63,205,46.01,50.32,41.76,26.05,1,0,0
"40800000000000_46",0.13,0,100,0,0,31.36,2003,87344,59,14.63,205,46.01,50.32,41.76,26.05,1,0,0
"40800000000000_47",0.13,0,100,0,0,31.54,2003,87344,59,14.63,13,46.01,50.32,41.76,26.05,1,0,0
"40800000000000_48",0.15,9.38,60.58,1.74,28.3,31.03,1948,87344,54.5,18.63,278.5,46.01,50.32,41.76,37.65,0,0,0
"40700000000000_50",0.19,0,78.35,1.63,20.02,26.24,1993,92500,69,13.73,164,44.99,50.32,34.66,18.7,0,0,0
"15600000000000_51",0.13,0,100,0,0,31.36,1999,36250,83.5,19.79,161,45.4,27.08,54.21,39.35,0,0,0
"10600000000000_53",0.14,0,100,0,0,29.83,1996,91695,40,12.81,1894.5,37.05,29.25,35.98,18.8,0,0,0
"10600000000000_55",0.15,0.15,48.18,0,51.67,29.89,1949,131042,81.5,15.33,1523.5,56.04,29.25,59.95,26.1,1,0,0
"10600000000000_56",0.12,0,100,0,0,29.91,1953,45774,83.5,15.63,13,50.56,29.25,50.33,34.4,1,0,0
"10600000000000_57",0.14,2.23,97.69,0,0.08,29.39,1969,111719,55.5,47.09,205,43.29,29.25,36.63,22.45,1,0,0
"10600000000000_58",0.12,0,100,0,0,29.9,1969,50438,63.5,21.83,32.5,103.13,29.25,49.65,19.5,1,0,0
"10600000000000_59",0.13,0,100,0,0,30.26,1969,50438,63.5,21.83,205,50.56,29.25,50.33,19.5,1,0,0
"10600000000000_60",0.15,2.66,96.71,0,0.62,29.8,1958,74545,68.5,16.45,241,103.13,29.25,47.83,24.65,0,0,0
"10600000000000_61",0.16,0,100,0,0,28.15,1991,151250,41,45.46,1523.5,25.47,29.25,37.15,12.1,1,0,0
"10600000000000_62",0.16,0,100,0,0,28.52,1994,151250,34,27.46,112.5,25.47,29.25,37.15,11.6,0,0,0
"10600000000000_63",0.14,0,94.9,0,5.1,27.64,2000,123393,58.5,57.03,13,24.94,29.25,40.27,13.45,1,0,0
"10600000000000_64",0.16,0,99.92,0,0.08,29.8,1976,132788,50.5,35.08,205,46.67,29.25,33.98,16.95,1,0,0
"10600000000000_65",0.15,0,98.64,0,1.36,29.43,1979,39777,82.5,14.61,645,55.96,29.25,55.12,27.7,0,0,0
"10600000000000_66",0.16,0.32,96.65,0,23.38,28.15,1991,151250,41,45.46,464,25.47,29.25,37.15,12.1,1,0,0
"43700000000000_67",0.13,0,100,0,0,27.96,1966,167269,34.5,7.7,241,35.25,52.82,27.26,4.05,0,0,0
"43700000000000_68",0.18,0,84.72,1.13,14.15,26.61,1994,250000,6.5,8.28,85.5,22,52.82,30.02,3.3,0,0,0
"43700000000000_69",0.09,0,100,0,0,29.67,1962,70966,61,12.83,13,57.49,52.82,27.2,13.85,0,0,0
"43700000000000_70",0.1,0,100,0,0,29.42,1965,59635,53,6.69,55,35.96,52.82,39.73,6.05,0,0,0
"43700000000000_72",0.14,0,92.93,0,7.07,27.02,1998,250000,9.5,13.96,241,22.02,52.82,21.72,1.55,0,0,0
"43700000000000_73",0.11,0,100,0,0,28.55,1985,179583,28,12.63,42.5,33.52,52.82,23.13,6.45,0,0,0
"43700000000000_74",0.11,0,99.49,0,0.51,28.82,1967,112014,41,9.13,1894.5,32.48,52.82,31.89,8.1,0,0,0
"43700000000000_75",0.1,0,99.17,0,0.83,28.58,1988,138864,45,7.88,145,46.54,52.82,35.93,17.45,0,0,0
"43700000000000_76",0.11,0,100,0,0,28.84,1969,142957,38.5,9.21,241,41.77,52.82,17.26,8.4,0,0,0
"29700000000000_77",0.28,0.48,16.92,77.2,5.4,23.76,1985,92413,28,9.01,14.5,61.64,19.56,30.17,19.85,1,1,1
"54700000000000_78",0.18,0,89.31,0,10.69,29.26,1998,46111,80,221.59,27.5,35.83,19.56,56.88,26.6,1,0,0
"1610000000000_79",0.1,0,100,0,0,28.24,2005,76639,97,3,98.5,95.62,19.56,37.23,55.45,0,0,0
"4610000000000_80",0.22,0,100,0,0,26.2,1953,99572,59,22.56,161,46.31,19.73,49.15,27,0,0,0
"4610000000000_81",0.17,0,100,0,0,28.08,2005,51714,85,12.05,336,128.01,29.25,54.75,96.05,0,0,0
"4610000000000_82",0.16,0.57,96.39,0,3.04,29.17,1963,45278,71,20.85,241,83.83,29.25,50.54,14.45,0,0,0
"4610000000000_83",0.21,0,100,0,0,26.36,1936,43304,70,18.6,53.5,42.25,19.73,39.52,43.1,0,0,0
"4610000000000_84",0.19,0,100,0,0,27.92,1973,67148,50,16.02,85.5,56.56,19.73,45.84,21.55,0,0,0
"4610000000000_85",0.17,0,100,0,0,28.58,2019,39667,77,31.91,336,64.26,42.51,49.66,35.7,0,0,0
"4610000000000_86",0.17,0,100,0,0,28.86,1965,39667,39,46.62,336,64.92,42.51,40.7,20.4,0,0,0
"4610000000000_88",0.24,11.88,88.12,0,0,25.67,1953,97697,25,20.15,13,56.56,19.73,33.87,18,0,1,0
"4610000000000_89",0.18,0,100,0,0,28.82,1970,84485,89.5,23.89,205,45.07,34.92,63.42,34,0,0,0
"9620000000000_90",0.22,0.32,16.96,13,69.73,27.79,1956,160438,5,18.09,205,29.48,18.13,24.19,18.95,1,0,0
"9620000000000_91",0.19,0,91.51,4.12,4.36,26.48,1981,115075,40,14.07,205,19.68,18.13,17.09,13.25,1,0,0
"9620000000000_92",0.19,0.32,81.36,3.24,15.07,27.79,1978,184936,22,18.21,241,34.49,18.13,20.54,15.05,0,0,0
"9620000000000_93",0.19,6.98,71.36,0,37.81,26.48,1981,115075,40,14.07,14.5,19.68,18.13,17.09,13.25,1,0,0
"10600000000000_94",0.13,0,100,0,0,31.64,2012,45347,95,17.43,615,99.91,29.25,54.37,33.65,0,0,0
"17600000000000_95",0.17,0,81.88,0.32,17.81,29.22,1921,50958,64.5,13.19,241,69.99,20.46,35.75,27.85,0,0,0
"17600000000000_96",0.18,0,40.06,7.29,52.64,28.72,1979,52250,79.5,19.99,23,69.99,20.46,35.75,30.2,0,0,0
"23700000000000_98",0.21,0.4,39.38,5.09,55.13,28.97,1930,49375,100,25.17,205,62.7,36.2,21,14.05,1,0,0
"39700000000000_99",0.24,0,100,0,0,26.29,1952,171534,41.5,8.44,27.5,37.33,49.49,63.06,13.55,0,1,0
"1610000000000_100",0.11,0,100,0,0,27.86,2003,117917,74,6.5,98.5,80.37,19.56,37.46,28.75,0,0,0
"41700000000000_101",0.15,0,100,0,0,27.17,1923,138869,38.5,62.98,85.5,20.95,51.16,36.06,20.75,0,0,0
"1610000000000_102",0.05,12.89,85.76,0,1.35,27.4,2003,34545,74,6,1523.5,87.03,19.56,38.8,19.7,0,0,0
"15700000000000_103",0.13,0,98.65,0,1.35,32.41,1998,39063,88,13.5,14.5,59.59,27.08,49.45,18.45,1,0,0
"15600000000000_104",0.11,0,100,0,0,33.15,1985,28379,98,8.08,36,84.72,27.08,50.34,23.9,0,0,0
"9620000000000_105",0.16,0,76.97,4.94,18.09,27.96,1931,44803,66,2,16,45.48,18.13,33.85,17.1,0,0,0
"9620000000000_106",0.19,0,74.26,5.6,20.14,27.17,1981,163333,25,44.21,16,21.27,18.13,17.67,10,0,0,0
"9620000000000_107",0.2,0,78.72,7.13,14.14,27.14,1981,163333,25,44.21,16,21.27,18.13,17.67,10,0,0,0
"9620000000000_108",0.23,0,42.01,30.19,27.8,26.39,1999,62805,36,32.27,16,45.48,18.13,33.85,25.55,0,0,0
"9620000000000_109",0.23,0,88.36,4.86,0,26.39,1999,62805,77,32.27,16,45.48,18.13,33.85,25.55,0,0,0
"9620000000000_110",0.22,0,79.52,15.56,4.92,26.59,2002,62841,60,19.35,16,49.36,18.13,34.49,31.5,0,0,0
"9620000000000_111",0.23,0.32,48.73,36.17,14.79,25.49,1963,160438,58,36.26,16,29.48,18.13,24.19,13.15,0,0,0
"1610000000000_112",0.07,0,100,0,0,28.52,1970,31292,94.5,24.59,1523.5,129.22,19.56,47.86,63.15,0,0,0
"1610000000000_113",0.08,0,100,0,0,28.84,2006,57601,64,9.17,1523.5,208.36,19.56,39.63,46.3,0,0,0
"1610000000000_114",0.09,0,100,0,0,27.99,2006,47938,90.5,16,1523.5,96.02,19.56,37.76,39.15,0,0,0
"1610000000000_115",0.1,0,100,0,0,27.28,2005,66912,77,8.89,1523.5,129.22,19.56,34.8,25.95,0,0,0
"1610000000000_116",0.09,0,100,0,0,28.74,2006,58750,93,2.3,1523.5,226.34,19.56,30.02,26.25,0,0,0
"1610000000000_117",0.16,0,100,0,0,24.67,1935,250000,6,7.57,85.5,39.19,19.56,35.33,4.95,0,0,0
"1610000000000_118",0.09,0,100,0,0,28.77,2007,46098,91,9.22,1523.5,155.95,19.56,32.79,42.85,0,0,0
"1610000000000_119",0.13,0,100,0,0,25.82,1950,158750,7,16.57,85.5,20.47,19.56,33.02,13.95,0,0,0
"1610000000000_120",0.17,0,98.88,1.02,0.1,24.17,1940,208906,6,14.9,241,31.66,19.56,30.32,6.7,0,0,0
"44700000000000_121",0.15,16.81,77.82,0,5.36,24.35,2004,133482,89,14.76,1894.5,56.91,53.65,44.73,35.45,0,0,0
"6620000000000_122",0.15,0,100,0,0,29.67,2008,85290,82,8.05,32.5,38.64,18.13,65.52,28.05,1,0,0
"6620000000000_123",0.15,0,98.83,0,0,29.67,2008,85290,68,8.05,14.5,20.8,34.44,30.43,28.05,1,0,0
"57700000000000_124",0.19,0,98.69,0,1.31,29.93,2011,97778,78,9.91,241,52.82,64.45,49.08,30.7,1,0,0
"57700000000000_125",0.19,0,100,0,2.47,29.93,1959,97778,78,9.91,267,52.82,64.45,49.08,30.7,1,0,0
"57700000000000_126",0.19,0,100,0,2.08,29.93,1938,97778,78,9.91,42.5,52.82,64.45,49.08,30.7,1,0,0
"57700000000000_127",0.19,0,98.73,0,0.08,29.93,1921,97778,78,9.91,42.5,52.82,64.45,49.08,30.7,1,0,0
"43700000000000_128",0.08,0,100,0,0,29.39,1950,57049,59.5,8.86,241,79.07,52.82,38.68,36.45,0,0,0
"7620000000000_129",0.18,0,83.47,11.45,5.09,25.53,1960,82857,10,5.02,199,50.51,21.42,40.85,19.2,0,0,0
"43700000000000_130",0.11,0,99.2,0,0.8,28.74,1975,129904,58,14.4,464,32.76,52.82,25.85,16.35,0,0,0
"43700000000000_131",0.13,0,99.84,0,0.16,29.07,1962,142162,9,9.93,241,16.56,52.82,21.23,4.65,0,0,0
"43700000000000_132",0.13,0,100,0,0,28.83,1957,236324,33,9.64,241,11.12,52.82,28.54,12.75,0,0,0
"43700000000000_133",0.16,0,100,0,0,27.21,1957,213906,2.5,14.49,85.5,8.54,52.82,33.59,2.5,0,0,0
"43700000000000_134",0.13,0,97.04,0,2.96,29.58,1957,175385,7,15.5,27.5,13.09,52.82,32.31,2.5,0,0,0
"1750000000000_135",0.12,0,83.6,0,0,28.2,2005,250000,3,20.2,27.5,32.04,19.56,30.77,2.1,0,0,0
"7620000000000_136",0.12,0,99.19,0,0.81,29.67,2007,129760,0,19.81,1894.5,76.81,21.42,33.06,16.75,0,0,0
"23700000000000_137",0.25,4.62,30.65,9.95,54.78,18.43,2003,66500,60,18.91,13,21.59,36.2,29.06,39.95,1,1,1
"42700000000000_138",0.12,0,97,0,3,27.67,2004,79000,80,30.24,1894.5,54.4,51.99,33.7,29.45,0,0,0
"28700000000000_139",0.17,2.15,97.85,0,0,27.52,1976,55938,85.5,11.12,85.5,43.69,40.35,46.85,28.6,0,0,0
"15100000000000_140",0.16,0,80.88,0,19.12,33.27,2011,49594,83,54.75,27.5,41.66,27.08,44.41,22.25,0,0,0
"28700000000000_141",0.15,0,100,0,0,29.33,2017,133214,85.5,7.11,161,37.4,40.35,38.37,33.5,0,0,0
"28700000000000_142",0.2,0,89,0,11,28.99,1930,95994,75.5,12.82,1523.5,36.71,40.35,27.15,10.9,1,0,0
"28700000000000_143",0.13,0,99.25,0,0.75,29.95,2003,90714,42,2,645,42.44,40.35,46.33,20.55,0,0,0
"10800000000000_144",0.13,0,100,0,0,31.98,1951,34750,86.5,21.95,112.5,45.47,29.25,52.37,48.95,0,0,0
"16700000000000_145",0.1,0,21.88,0,76.09,34.95,1980,59024,86,12.25,205,45.07,42.51,20.5,25.95,1,0,0
"16700000000000_146",0.1,0,65.53,0,0.88,34.95,2008,59024,78.5,46.29,14.5,45.07,42.51,20.5,25.95,1,0,0
"16700000000000_147",0.1,0,94.43,0,10.38,34.95,2002,59024,57,40.44,14.5,45.07,42.51,20.5,25.95,1,0,0
"16700000000000_148",0.11,0,95.23,0,4.77,34.15,1992,41255,60,0.09,205,45.07,42.51,20.5,37.1,1,0,0
"16700000000000_149",0.09,0,97.28,0,2.72,35.05,1939,37056,92.5,27.97,14.5,45.07,42.51,20.5,19.2,1,0,0
"28700000000000_150",0.15,0.8,99.2,0,0,28.58,1949,82000,56,13.62,164,48.15,40.35,38.35,14.9,0,0,0
"24700000000000_152",0.2,0,81.63,0,18.37,29.14,1953,58750,37.5,30.06,199,80.7,37.03,54.66,9.7,0,0,0
"43700000000000_153",0.09,0,100,0,0,29.33,1965,77813,78,11.88,27.5,63.73,52.82,52.87,28.45,0,0,0
"43700000000000_154",0.14,0,100,0,0,28.13,1992,138295,10,14.9,220,29.98,52.82,38.78,18.9,0,0,0
"43700000000000_155",0.14,0,100,0,0,27.92,1930,177639,37,9.94,361.5,28.01,52.82,28.94,11.6,0,0,0
"43700000000000_156",0.16,0,100,0,0,27.39,1957,235893,25.5,13.79,161,35.85,52.82,43.97,22.05,0,0,0
"43700000000000_157",0.12,1.68,98.16,0,0.16,28.17,2014,99531,67,23.31,220,30.06,52.82,30.83,18.9,0,0,0
"43700000000000_158",0.12,0,100,0,0,28.55,2000,170405,50.5,24.94,199,40.86,52.82,35.55,22.95,0,0,0
"43700000000000_159",0.15,0,100,0,0,27.45,1931,245125,52.5,21.14,85.5,30.76,52.82,41.22,22.3,0,0,0
"43700000000000_160",0.15,0,100,0,0,27.83,1959,250000,8,9.23,161,27.07,52.82,29.85,6.15,0,0,0
"43700000000000_161",0.09,0,100,0,0,29.17,1930,133676,65,10.44,112.5,64.26,52.82,55.88,28.85,0,0,0
"39700000000000_162",0.15,0,100,0,0,29.48,1950,69542,87.5,22.51,164,71.8,49.49,47.26,32.55,0,0,0
"39700000000000_163",0.07,0,100,0,0,30.77,2013,31467,88,9.57,125.5,74.6,51.99,49.34,70.1,0,0,0
"39700000000000_164",0.12,2.46,97.54,0,0,29.55,2000,35366,88,2,504.5,110.96,53.65,38.35,34,0,0,0
"39700000000000_165",0.15,0,100,0,0,30.74,1949,53155,82.5,13.45,615,57.92,49.49,42.43,37.25,0,0,0
"39700000000000_166",0.15,0,100,0,0,29.49,1991,60114,86.5,9.2,241,81.46,49.49,46.29,40.4,0,0,0
"39700000000000_167",0.12,0,100,0,0,30.61,2018,38750,89.5,16.61,27.5,98.75,49.49,58.55,33.7,0,0,0
"40700000000000_168",0.08,0.2,96.2,0,3.6,23.34,1960,229625,41.5,31.42,1894.5,39.13,50.32,35.9,18.8,0,0,0
"40700000000000_169",0.13,18.26,75.2,0.16,6.38,28.36,1962,89531,53.5,19.88,336,17.69,50.32,38.38,23.5,0,0,0
"40700000000000_170",0.2,0.57,73.75,0,25.68,28.36,1958,146038,20.5,9.57,161,37.22,50.32,51.04,12.35,0,0,0
"28700000000000_171",0.14,0,89.33,0,10.67,27.42,2005,181607,44,11.9,23,71,40.35,24.53,16.45,0,0,0
"10600000000000_172",0.13,0,94.7,0,5.3,28.92,2007,143409,24.5,13.02,27.5,28.15,29.25,34.23,9.8,0,0,0
"28700000000000_173",0.19,0,73.41,1.67,24.92,28.55,2018,121950,79.5,17.61,85.5,42.13,40.35,46.07,30.65,0,0,0
"28700000000000_174",0.14,0,99.63,0,0.37,29.61,2004,90714,56.5,39.16,13,42.44,40.35,46.33,21.15,1,0,0
"28700000000000_175",0.21,0,63.04,1.83,35.13,27.58,1950,135000,69.5,16.88,27.5,32.58,40.35,39.87,21.35,0,0,0
"28700000000000_176",0.14,0,97.98,0,0,29.61,2000,90714,56.5,39.16,28,42.44,40.35,46.33,21.15,1,0,0
"27700000000000_177",0.13,0,99.9,0,0.1,25.77,2004,78106,61,13.4,241,60.02,42.85,65.14,19.2,0,0,0
"43700000000000_178",0.12,0,98.57,0,1.43,29.28,1965,249519,7,7.98,161,10.91,52.82,36.75,5,0,0,0
"7620000000000_179",0.16,0,88.6,0.24,11.16,27.08,1976,111891,37,13.77,1894.5,48.26,21.42,29.25,17.7,0,0,0
"23700000000000_180",0.17,1.59,20.49,7.07,70.85,30.02,1930,50341,94.5,4.13,205,62.7,36.2,21,28.5,1,0,0
"23700000000000_181",0.21,8.78,75.61,0,5.19,28.97,1930,49375,100,33.13,32.5,62.7,36.2,21,14.05,1,0,0
"23700000000000_182",0.21,0,94.37,0,29.43,28.97,1930,49375,100,16.96,32.5,62.7,36.2,21,14.05,1,0,0
"1610000000000_183",0.04,0,100,0,0,28.52,1960,63813,90,9.83,241,129.22,19.56,47.86,30.35,0,0,0
"15600000000000_184",0.12,0,100,0,0,33.16,2008,59603,93,79.76,112.5,84.72,27.08,60.06,27.25,0,0,0
"57700000000000_185",0.18,0,100,0,0,27.36,1914,67865,78.5,6.13,42.5,51.44,64.45,45.88,33.35,0,0,0
"1610000000000_186",0.1,0,100,0,0,28.32,2010,88241,94,18.3,13,101.31,19.56,34.33,46.5,0,0,0
"1610000000000_187",0.1,0,100,0,0,28.29,1995,65625,85,9.13,241,101.31,19.56,34.33,45.1,0,0,0
"1610000000000_188",0.13,0,100,0,0,27.58,1974,56953,100,14.08,55,76.6,19.56,41.58,40.65,0,0,0
"1610000000000_189",0.1,0,100,0,0,27.36,2005,68864,90,11.85,98.5,71.68,19.56,37.48,36.95,0,0,0
"1610000000000_190",0.11,0,100,0,0,27.62,1995,167778,88,19.23,199,60.43,19.56,40.52,32.45,0,0,0
"1610000000000_191",0.13,0,100,0,0,27.36,1995,90717,77,9.06,55,71.68,19.56,37.48,30.8,0,0,0
"1610000000000_192",0.12,0,100,0,0,27.61,1955,117917,64,36.4,98.5,60.43,19.56,40.52,27.25,0,0,0
"10600000000000_193",0.17,0,100,0,0,29.52,1957,117370,67,33,112.5,71.87,29.25,56.21,17.1,0,0,0
"15700000000000_194",0.12,0,99.15,0,0.85,32.8,1930,36190,87.5,21.24,1523.5,59.59,27.08,49.45,18.55,1,0,0
"15600000000000_195",0.11,0,92.11,0,7.89,34.02,1961,23333,89,64.97,578.5,69.27,27.08,39.57,25.45,0,0,0
"10700000000000_196",0.13,0,91.91,0,8.09,31.08,1960,73047,72,19.37,241,98.34,29.25,42.74,26.45,0,0,0
"43700000000000_197",0.12,0,100,0,0,28.86,2019,250000,23,16.01,1894.5,13.01,52.82,27.74,7.45,0,0,0
"1610000000000_200",0.14,1.91,98.09,0,0,27.45,1963,79525,10,8.69,241,63.37,19.56,36.01,6.95,0,0,0
"1610000000000_201",0.12,0,100,0,0,29.05,1960,179125,36,10.64,241,66.86,19.56,29.21,12.85,0,0,0
"1610000000000_202",0.12,0,94.16,0,0,29.05,1960,179125,25,10.64,241,66.86,19.56,29.21,12.85,0,0,0
"1610000000000_203",0.12,0,100,0,0,28.85,1960,136000,19,8.83,241,66.86,19.56,29.21,0,0,0,0
"1610000000000_204",0.11,0,100,0,0,28.68,1961,146353,27,8.34,1894.5,66.44,19.56,46.69,6.9,0,0,0
"1610000000000_205",0.11,0.48,99.52,0,0,28.76,1959,204202,6.5,7.24,241,58.08,19.56,25.56,7.7,0,0,0
"1610000000000_206",0.12,0,100,0,0,28.95,1962,179125,7,18.49,241,66.86,19.56,29.21,4.4,0,0,0
"57700000000000_207",0.14,0,100,0,0,30.2,1986,88255,76.5,13.38,42.5,54.34,64.45,29.89,29.7,0,0,0
"57700000000000_208",0.17,11.41,88.59,0,0,28.33,2010,34375,53.5,5.25,42.5,50.18,64.45,49.06,22.85,1,0,0
"57700000000000_209",0.17,0,100,0,0,28.33,2010,34375,53.5,5.25,42.5,50.18,64.45,49.06,28.4,1,0,0
"57700000000000_210",0.18,0,100,0,0,28.04,1958,87375,60,7.5,42.5,49.96,64.45,48.33,20.05,0,0,0
"57700000000000_211",0.15,0,100,0,0,29.23,1954,48083,68,15.88,42.5,55.3,64.45,42.44,24.25,0,0,0
"43700000000000_212",0.12,0,100,0,0,28.89,1963,185795,8.5,15.67,645,13.01,52.82,33.17,6.7,0,0,0
"20700000000000_213",0.14,0,99.83,0,0.17,31.11,2016,48994,80,44.85,13,82.02,34.92,56.6,31.55,1,0,0
"20700000000000_214",0.14,0,82.35,3.24,4.62,31.11,2016,48994,83,4,205,67.1,34.92,43.23,31.55,1,0,0
"15600000000000_215",0.12,0,100,0,0,32.66,2008,121750,58.5,59.15,27.5,49.73,27.08,40.16,15.5,0,0,0
"43700000000000_216",0.11,0,100,0,0,28.66,1959,160779,43.5,12.99,205,29.3,52.82,39.16,12.85,1,0,0
"41700000000000_217",0.19,0,100,0,0,24.77,1953,179722,63.5,8.73,645,21.78,51.16,33.39,26,0,0,0
"41700000000000_218",0.14,0,99.84,0,0.16,27.1,1940,150685,31.5,11.28,161,31.27,51.16,47.52,12.45,0,0,0
"41700000000000_219",0.08,0,100,0,0,28.14,1993,88869,47,11.11,85.5,42.33,51.16,50.81,11.45,0,0,0
"41700000000000_220",0.16,0,75.97,10.42,13.6,25.46,1968,179000,18.5,8.3,241,27.33,51.16,24.64,10.35,0,0,0
"41700000000000_221",0.15,0,98.41,1.43,0.16,26.76,1954,229625,41,15.1,164,42.33,51.16,26.38,16.3,0,0,0
"41700000000000_224",0.2,3.67,78.12,4.63,13.58,20.84,1978,228106,21,6.27,336,38.38,51.16,28.04,9.15,0,0,0
"41700000000000_225",0.06,4.7,95.3,0,0,26.9,2006,141157,27,13.5,645,19.18,51.16,42.51,12.85,0,0,0
"41700000000000_226",0.19,0.32,88.48,10.64,0.56,24.41,1954,136406,6,14.22,55,21.73,51.16,16.17,44.2,0,0,0
