School_ID,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,ndvi_median,Land_Surface_Temp_median,Year_built,Median_income_BG_2021,Percent_FRPM,Student_Staff_Ratio,Students_with_Disabilities_mean,Asthma_Rates,Covid19_rate_of_infection_1000_people,Pollution_Burden,Chronic_Abs_Avg_Rate,retrofit,ndvi_median_binary,retrofit_and_ndvi,Diversity_Index
40700000000000_50,0,76.23,1.59,19.48,0.19,26.24,1993,92500,69,2,NA,44.99,50.32,34.66,19.5,0,0,0,0.51
15600000000000_51,0,97.69,0,0,0.13,31.36,1999,36250,83.5,12,NA,45.4,27.08,54.21,37.75,0,0,0,0.06
10600000000000_53,0,100,0,0,0.14,29.83,1996,91695,40,1,NA,37.05,29.25,35.98,18.35,0,0,0,0.58
10600000000000_55,0.08,25.38,0,27.21,0.15,29.89,1949,131042,81.5,1,NA,56.04,29.25,59.95,24.2,1,0,0,0.65
10600000000000_56,0,100,0,0,0.12,29.91,1953,45774,83.5,1,NA,50.56,29.25,50.33,32.45,1,0,0,0.64
10600000000000_57,2.23,97.69,0,0.08,0.14,29.39,1969,111719,55.5,3,NA,43.29,29.25,36.63,21.85,1,0,0,NA
10600000000000_58,0,100,0,0,0.12,29.9,1969,50438,63.5,2,NA,103.13,29.25,49.65,18.65,1,0,0,0.61
10600000000000_59,0,100,0,0,0.13,30.26,1969,50438,63.5,2,NA,50.56,29.25,50.33,18.65,1,0,0,0.61
10600000000000_60,2.38,86.5,0,0.56,0.15,29.8,1958,74545,68.5,1,NA,103.13,29.25,47.83,26.8,0,0,0,0.61
10600000000000_61,0,95.71,0,0,0.16,28.15,1991,151250,41,3,NA,25.47,29.25,37.15,11.95,1,0,0,NA
10600000000000_62,0,100,0,0,0.16,28.52,1994,151250,34,1,NA,25.47,29.25,37.15,9.65,0,0,0,0.57
10600000000000_63,0,76.95,0,4.13,0.14,27.64,2000,123393,58.5,3,NA,24.94,29.25,40.27,13.5,1,0,0,0.68
10600000000000_64,0,99.92,0,0.08,0.16,29.8,1976,132788,50.5,2,NA,46.67,29.25,33.98,18.05,1,0,0,NA
10600000000000_65,0,98.64,0,1.36,0.15,29.43,1979,39777,82.5,1,NA,55.96,29.25,55.12,25.95,0,0,0,0.59
10600000000000_66,NA,NA,NA,NA,0.16,28.15,1991,151250,41,3,NA,25.47,29.25,37.15,11.95,1,0,0,NA
43700000000000_67,0,100,0,0,0.13,27.96,1966,167269,34.5,5,NA,35.25,52.82,27.26,4.55,0,0,0,0.58
43700000000000_68,0,83.37,1.11,13.92,0.18,26.61,1994,250000,6.5,7,NA,22,52.82,30.02,3.7,0,0,0,0.56
43700000000000_69,0,100,0,0,0.09,29.67,1962,70966,61,6,1286,57.49,52.82,27.2,13.9,0,0,0,0.46
43700000000000_70,0,100,0,0,0.1,29.42,1965,59635,53,4,NA,35.96,52.82,39.73,5.5,0,0,0,0.49
43700000000000_72,0,92.93,0,7.07,0.14,27.02,1998,250000,9.5,10,NA,22.02,52.82,21.72,1.15,0,0,0,0.17
43700000000000_73,0,100,0,0,0.11,28.55,1985,179583,28,7,NA,33.52,52.82,23.13,6.35,0,0,0,0.54
43700000000000_74,0,99.49,0,0.51,0.11,28.82,1967,112014,41,6,NA,32.48,52.82,31.89,8.3,0,0,0,0.58
43700000000000_75,0,99.17,0,0.83,0.1,28.58,1988,138864,NA,NA,2236,46.54,52.82,35.93,NA,0,0,0,0.57
43700000000000_76,0,100,0,0,0.11,28.84,1969,142957,38.5,7,2236,41.77,52.82,17.26,8.15,0,0,0,0.55
29700000000000_77,0.48,16.92,77.2,5.4,0.28,23.76,1985,92413,28,41,2236,NA,NA,NA,17.5,1,1,1,0.13
54700000000000_78,0,34.05,0,4.08,0.18,29.26,NA,46111,NA,NA,NA,NA,NA,NA,NA,1,0,0,0.17
1610000000000_79,0,99.52,0,0,0.1,28.24,2005,76639,NA,NA,NA,95.62,19.56,37.23,NA,0,0,0,NA
4610000000000_80,0,100,0,0,0.22,26.2,1953,NA,NA,NA,NA,46.31,19.73,49.15,NA,0,0,0,0.59
4610000000000_81,0,100,0,0,0.17,28.08,2005,51714,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
4610000000000_82,0.48,81.15,0,2.56,0.16,29.17,1963,45278,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36
4610000000000_83,0,100,0,0,0.21,26.36,1936,43304,NA,NA,NA,42.25,19.73,39.52,NA,0,0,0,0.68
4610000000000_84,0,100,0,0,0.19,27.92,1973,67148,NA,NA,NA,56.56,19.73,45.84,NA,0,0,0,NA
4610000000000_85,0,100,0,0,0.17,28.58,2019,39667,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
4610000000000_86,0,100,0,0,0.17,28.86,1965,39667,NA,NA,7531.5,NA,NA,NA,NA,0,0,0,0.42
4610000000000_88,10.77,79.89,0,0,0.24,25.67,1953,97697,NA,NA,970.5,56.56,19.73,33.87,NA,0,1,0,0.57
4610000000000_89,0,100,0,0,0.18,28.82,1970,84485,NA,NA,970.5,NA,NA,NA,NA,0,0,0,0.5
9620000000000_90,0.32,16.96,13,69.73,0.22,27.79,1956,160438,NA,NA,970.5,29.48,18.13,24.19,NA,1,0,0,0.3
9620000000000_91,0,91.51,4.12,4.36,0.19,26.48,1981,115075,NA,NA,970.5,19.68,18.13,17.09,NA,1,0,0,0.35
9620000000000_92,0.32,81.36,3.24,15.07,0.19,27.79,1978,184936,NA,NA,7531.5,34.49,18.13,20.54,NA,0,0,0,0.42
9620000000000_93,NA,NA,NA,NA,0.19,26.48,1981,115075,NA,NA,7531.5,19.68,18.13,17.09,NA,1,0,0,0.35
10600000000000_94,0,100,0,0,0.13,31.64,2012,45347,95,1,7531.5,99.91,29.25,54.37,32.5,0,0,0,0.38
17600000000000_95,0,81.88,0.32,17.81,0.17,29.22,1921,50958,64.5,16,7531.5,69.99,20.46,35.75,29.55,0,0,0,NA
17600000000000_96,0,40.06,7.29,52.64,0.18,28.72,1979,52250,79.5,16,7531.5,69.99,20.46,35.75,28.75,0,0,0,0.48
23700000000000_98,0.4,39.38,5.09,55.13,0.21,28.97,1930,49375,100,2,7531.5,62.7,36.2,21,15.65,1,0,0,NA
39700000000000_99,0,11.49,0,0,0.24,26.29,1952,171534,41.5,5,NA,37.33,49.49,63.06,14.55,0,1,0,0.51
1610000000000_100,0,100,0,0,0.11,27.86,2003,117917,NA,NA,NA,80.37,19.56,37.46,NA,0,0,0,0.67
41700000000000_101,0,100,0,0,0.15,27.17,1923,138869,38.5,5,191.5,20.95,51.16,36.06,20.35,0,0,0,NA
1610000000000_102,12.89,85.76,0,1.35,0.05,27.4,2003,34545,NA,NA,NA,87.03,19.56,38.8,NA,0,0,0,0.55
15700000000000_103,0,81.36,0,1.11,0.13,32.41,1998,39063,88,15,NA,59.59,27.08,49.45,17.2,1,0,0,0.04
15600000000000_104,0,5.58,0,0,0.11,33.15,1985,28379,NA,NA,NA,84.72,27.08,50.34,NA,0,0,0,NA
9620000000000_105,0,76.97,4.94,18.09,0.16,27.96,NA,44803,NA,NA,NA,45.48,18.13,33.85,NA,0,0,0,NA
9620000000000_106,0,74.26,5.6,20.14,0.19,27.17,1981,163333,NA,NA,NA,21.27,18.13,17.67,NA,0,0,0,NA
9620000000000_107,0,78.72,7.13,14.14,0.2,27.14,1981,163333,NA,NA,NA,21.27,18.13,17.67,NA,0,0,0,NA
9620000000000_108,0,42.01,30.19,27.8,0.23,26.39,1999,62805,NA,NA,837.5,45.48,18.13,33.85,NA,0,0,0,NA
9620000000000_109,NA,NA,NA,NA,0.23,26.39,1999,62805,NA,NA,NA,45.48,18.13,33.85,NA,0,0,0,NA
9620000000000_110,0,79.52,15.56,4.92,0.22,26.59,2002,62841,NA,NA,NA,49.36,18.13,34.49,NA,0,0,0,NA
9620000000000_111,0.32,48.73,36.17,14.79,0.23,25.49,1963,160438,NA,NA,NA,29.48,18.13,24.19,NA,0,0,0,NA
1610000000000_112,0,100,0,0,0.07,28.52,1970,31292,NA,NA,NA,129.22,19.56,47.86,NA,0,0,0,NA
1610000000000_113,0,100,0,0,0.08,28.84,2006,57601,NA,NA,NA,208.36,19.56,39.63,NA,0,0,0,0.04
1610000000000_114,0,100,0,0,0.09,27.99,2006,47938,NA,NA,NA,96.02,19.56,37.76,NA,0,0,0,0.31
1610000000000_115,0,100,0,0,0.1,27.28,2005,66912,NA,NA,NA,129.22,19.56,34.8,NA,0,0,0,0.67
1610000000000_116,0,100,0,0,0.09,28.74,2006,58750,NA,NA,NA,226.34,19.56,30.02,NA,0,0,0,0.5
1610000000000_117,0,100,0,0,0.16,24.67,1935,250000,NA,NA,NA,39.19,19.56,35.33,NA,0,0,0,0.53
1610000000000_118,0,98.64,0,0,0.09,28.77,2007,46098,NA,NA,NA,155.95,19.56,32.79,NA,0,0,0,0.43
1610000000000_119,0,100,0,0,0.13,25.82,1950,158750,NA,NA,NA,20.47,19.56,33.02,NA,0,0,0,0.53
1610000000000_120,0,98.88,1.02,0.1,0.17,24.17,1940,208906,NA,NA,NA,31.66,19.56,30.32,NA,0,0,0,0.55
44700000000000_121,16.81,77.82,0,5.36,0.15,24.35,2004,133482,89,2,NA,56.91,53.65,44.73,34.3,0,0,0,0.12
6620000000000_122,0,88.96,0,0,0.15,29.67,2008,85290,NA,NA,NA,NA,NA,NA,NA,1,0,0,0.22
6620000000000_123,NA,NA,NA,NA,0.15,29.67,2008,85290,NA,NA,NA,NA,NA,NA,NA,1,0,0,0.22
57700000000000_124,0,53.86,0,0.72,0.19,29.93,NA,97778,78,22,NA,52.82,64.45,49.08,35.55,1,0,0,0.39
57700000000000_125,NA,NA,NA,NA,0.19,29.93,NA,97778,78,22,NA,52.82,64.45,49.08,35.55,1,0,0,0.39
57700000000000_126,NA,NA,NA,NA,0.19,29.93,NA,97778,78,22,NA,52.82,64.45,49.08,35.55,1,0,0,0.39
57700000000000_127,NA,NA,NA,NA,0.19,29.93,NA,97778,78,22,NA,52.82,64.45,49.08,35.55,1,0,0,0.39
43700000000000_128,0,100,0,0,0.08,29.39,NA,57049,59.5,1,NA,79.07,52.82,38.68,35.45,0,0,0,0.31
